post_id,title,field_name,before_state,after_state,seeded,seed_source,value_preview,preserved_existing,notes
73,Зависимости,section_clinic_landscape_image,meaningful,meaningful,no,preserve,1239,yes,"preserved existing"
73,Зависимости,section_team_image,meaningful,meaningful,no,preserve,1238,yes,"preserved existing"
73,Зависимости,section_corridor_image,meaningful,meaningful,no,preserve,1709,yes,"preserved existing"
77,"Психическое здоровье",section_dependencies_heading,meaningful,meaningful,yes,section_specific_demo,"Направления психического здоровья",no,"overwrite dependency-shared demo"
77,"Психическое здоровье",section_dependencies_lead,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
77,"Психическое здоровье",section_dependencies_footer,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
77,"Психическое здоровье",section_nature_heading,meaningful,meaningful,yes,section_specific_demo,"Природа психических состояний",no,"overwrite dependency-shared demo"
77,"Психическое здоровье",section_nature_lead,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
77,"Психическое здоровье",section_program_heading,meaningful,meaningful,no,preserve,"Наша программа включает 4 направления",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_program_more_label,meaningful,meaningful,no,preserve,подробнее,yes,"meaningful/test preserved"
77,"Психическое здоровье",section_program_lead,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
77,"Психическое здоровье",section_stages_heading,meaningful,meaningful,no,preserve,"Что нужно для прохождения реабилитации и лечения",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_stages_lead,meaningful,meaningful,no,preserve,"Мы гарантируем конфиденциальность, уважение к личности, поддержание комфортной, психологически безопасной атмосферы.",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_stages_support_heading,meaningful,meaningful,no,preserve,"Поддержка осуществляется на всех этапах:",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_approach_heading,meaningful,meaningful,yes,section_specific_demo,"Наш подход к работе с психическим здоровьем",no,"overwrite dependency-shared demo"
77,"Психическое здоровье",section_approach_more_label,meaningful,meaningful,no,preserve,подробнее,yes,"meaningful/test preserved"
77,"Психическое здоровье",section_approach_more_url,meaningful,meaningful,no,preserve,http://shpigovsky.test/o-centre/programma-lecheniya/,yes,"meaningful/test preserved"
77,"Психическое здоровье",section_approach_highlight,meaningful,meaningful,no,preserve,"Мы используем мультидисциплинарный подход — когда лечение одного пациента обеспечивается командой специалистов разных пр",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_approach_intro,meaningful,demo,yes,section_specific_demo,"DEMO: работа с психическим здоровьем строится на бережной диагностике, командной поддержке и индивидуальной программе во",no,"overwrite dependency-shared demo"
77,"Психическое здоровье",section_corridor_image_alt,meaningful,meaningful,no,preserve,"Интерьер клиники — коридор с картинами",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_team_image_alt,meaningful,meaningful,no,preserve,"Команда специалистов реабилитационного центра",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_faq_heading,meaningful,meaningful,no,preserve,"Нас часто спрашивают",yes,"meaningful/test preserved"
77,"Психическое здоровье",section_nature_text_blocks,demo,demo,yes,section_specific_demo,array:2,no,"section-specific nature blocks"
77,"Психическое здоровье",section_nature_cards,demo,demo,no,preserve,array:2,yes,"existing repeater preserved"
77,"Психическое здоровье",section_program_intro_items,demo,demo,no,preserve,array:2,yes,"existing repeater preserved"
77,"Психическое здоровье",section_stages_items,meaningful,meaningful,no,preserve,array:4,yes,"existing repeater preserved"
77,"Психическое здоровье",section_stages_support_items,meaningful,meaningful,no,preserve,array:4,yes,"existing repeater preserved"
77,"Психическое здоровье",section_approach_cards,demo,demo,no,preserve,array:4,yes,"existing repeater preserved"
77,"Психическое здоровье",section_clinic_landscape_image,meaningful,meaningful,no,preserve,1239,yes,"preserved existing"
77,"Психическое здоровье",section_team_image,meaningful,meaningful,no,preserve,1238,yes,"preserved existing"
77,"Психическое здоровье",section_corridor_image,meaningful,meaningful,no,preserve,1709,yes,"preserved existing"
84,"Расстройства пищевого поведения",section_dependencies_heading,meaningful,meaningful,yes,section_specific_demo,"Направления работы с РПП",no,"overwrite dependency-shared demo"
84,"Расстройства пищевого поведения",section_dependencies_lead,demo,demo,no,preserve,"test013-13 Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore",yes,"preserved existing"
84,"Расстройства пищевого поведения",section_dependencies_footer,demo,demo,no,preserve,"test013-13 Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore",yes,"preserved existing"
84,"Расстройства пищевого поведения",section_nature_heading,meaningful,meaningful,yes,section_specific_demo,"Природа расстройств пищевого поведения",no,"overwrite dependency-shared demo"
84,"Расстройства пищевого поведения",section_nature_lead,demo,demo,no,preserve,"test013-13 Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore",yes,"preserved existing"
84,"Расстройства пищевого поведения",section_program_heading,meaningful,meaningful,no,preserve,"test013-13 Наша программа включает 4 направления",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_program_more_label,meaningful,meaningful,no,preserve,"test013-13 подробнее",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_program_lead,demo,demo,no,preserve,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliq",yes,"preserved existing"
84,"Расстройства пищевого поведения",section_stages_heading,meaningful,meaningful,no,preserve,"test013-13 Что нужно для прохождения реабилитации и лечения",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_stages_lead,meaningful,meaningful,no,preserve,"test013-13 Мы гарантируем конфиденциальность, уважение к личности, поддержание комфортной, психологически безопасной атм",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_stages_support_heading,meaningful,meaningful,no,preserve,"test013-13 Поддержка осуществляется на всех этапах:",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_approach_heading,meaningful,meaningful,yes,section_specific_demo,"Наш подход к работе с расстройствами пищевого поведения",no,"overwrite dependency-shared demo"
84,"Расстройства пищевого поведения",section_approach_more_label,meaningful,meaningful,no,preserve,"test013-13 подробнее",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_approach_more_url,meaningful,meaningful,no,preserve,http://shpigovsky.test/o-centre/programma-lecheniya/,yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_approach_highlight,meaningful,meaningful,no,preserve,"Мы используем мультидисциплинарный подход — когда лечение одного пациента обеспечивается командой специалистов разных пр",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_approach_intro,meaningful,demo,yes,section_specific_demo,"DEMO: помощь при расстройствах пищевого поведения сочетает медицинскую, психологическую и поведенческую поддержку с безо",no,"overwrite dependency-shared demo"
84,"Расстройства пищевого поведения",section_corridor_image_alt,meaningful,meaningful,no,preserve,"test013-13 Интерьер клиники — коридор с картинами",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_team_image_alt,meaningful,meaningful,no,preserve,"Команда специалистов реабилитационного центра",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_faq_heading,meaningful,meaningful,no,preserve,"Нас часто спрашивают",yes,"meaningful/test preserved"
84,"Расстройства пищевого поведения",section_nature_text_blocks,empty,demo,yes,section_specific_demo,array:2,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_nature_cards,empty,demo,yes,neutral_demo,array:2,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_program_intro_items,empty,demo,yes,neutral_demo,array:2,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_stages_items,empty,meaningful,yes,current_frontend,array:4,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_stages_support_items,empty,meaningful,yes,current_frontend,array:4,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_approach_cards,empty,demo,yes,neutral_demo,array:4,n/a,"seed if empty"
84,"Расстройства пищевого поведения",section_clinic_landscape_image,meaningful,meaningful,no,preserve,1239,yes,"preserved existing"
84,"Расстройства пищевого поведения",section_team_image,meaningful,meaningful,no,preserve,1238,yes,"preserved existing"
84,"Расстройства пищевого поведения",section_corridor_image,meaningful,meaningful,no,preserve,1709,yes,"preserved existing"
