commit_hash,subject,author_date,scope_class,path_scope_summary,files_changed_count,foreign_to_fp0002,safe_to_push_with_branch,notes
"3cf005bd968300933070b66d83770e8b692df994","docs(metabot): add pc14 fu02 production proposal","2026-07-13 19:43:17 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"ee0c46532a5fbf41a3cfc9d7f755a1341f529a55","docs(metabot): add pc14 fu02 sandbox evidence","2026-07-13 18:48:38 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"af3062646e6696e4fbe67f0ee2c272a7153ba5fe","docs(metabot): add pc14 fu02 sandbox proposal","2026-07-13 04:05:29 +0700",other_mars_scoped_commit,"metabot:3",3,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"535acbceef36165e6909987caef98087d7f9236e","docs(metabot): add pc14 fu02 tz residual audit","2026-07-13 03:53:55 +0700",other_mars_scoped_commit,"metabot:3",3,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"f6fb295ae52bbc43463d788ca9dd32f3bfb3f732","docs(metabot): close pc14 fu01 and select next backlog","2026-07-13 03:44:50 +0700",other_mars_scoped_commit,"metabot:3",3,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"5541811c9d64cd7c443fcba092fa6a6af7072868","docs(metabot): add pc14 fu01 operator smoke verification","2026-07-13 03:36:41 +0700",other_mars_scoped_commit,"metabot:5",5,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"ebfaeb225a86d7c0b98ef446908b29c25a9e45df","docs(metabot): add pc14 fu01 production apply evidence","2026-07-13 03:05:13 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"710f10c99c5b49e0fcf125ddf6da7bea948f2a37","docs(metabot): add pc14 fu01 production proposal","2026-07-13 02:05:28 +0700",other_mars_scoped_commit,"metabot:4",4,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"c30d804866abb73ea3f6b30647c89d114e1c27b0","docs(metabot): add pc14 fu01 sandbox evidence","2026-07-13 01:32:07 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"dc3c17736c235f6b4c81f6ac6acecdea5a8a5f68","docs(metabot): add pc14 fu01 sandbox proposal","2026-07-13 00:14:04 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"459b72543158b4665267e603831192fb92cdfb06","docs(metabot): add pc14 fu01 strict family proposal","2026-07-12 22:56:45 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"abfd6d1c844ce4ebbf15e714b010d3bf9fbbee23","docs(metabot): close pc14 and select fu01","2026-07-12 21:40:42 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"bc8e63fb2091e490274e7608dadd040bad996700","docs(metabot): add pc14 operator smoke verification","2026-07-11 00:16:42 +0700",other_mars_scoped_commit,"metabot:5",5,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"8af6d40dddd672261764645a1ecd00639685f203","docs(metabot): add pc14 production apply evidence","2026-07-10 22:07:12 +0700",other_mars_scoped_commit,"metabot:8",8,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"1565dd9c9cd20e515fb9e0fe6329f3e919196052","docs(metabot): add pc14 production proposal","2026-07-10 21:47:28 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"39a4302884bbd00a1f866bbfd37eb2a4508d7191","docs(metabot): add pc14 sandbox patch evidence","2026-07-10 20:32:23 +0700",other_mars_scoped_commit,"metabot:7",7,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"96a8f08f6dc44ee21a83cd13b4a7032b69587e3e","docs(metabot): add pc14 sandbox patch proposal","2026-07-10 19:50:06 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"688e1c03949b4a9f81892ef82f7b174e72dcf0e1","docs(metabot): add pc14 strict cleanup audit","2026-07-10 19:29:53 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"335b7f3c2d420b3a02f5aaea300b1b02946e1687","docs(metabot): close pc07 and select pc14","2026-07-10 18:45:39 +0700",other_mars_scoped_commit,"metabot:1",1,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
"7e1c50ca047372ec865742b6f6fc676b96a399bc","docs(metabot): add pc07 operator smoke verification","2026-07-10 18:23:52 +0700",other_mars_scoped_commit,"metabot:2",2,yes,needs_operator,"MetaBOT docs/evidence monorepo commit; push of shared branch would publish it; history diverged from remote OCPilot tip"
