"keyword_id","phrase","group","decision","reason","commercial_conf","source"
"kw-corv01-disc-905","настройка маркировки в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1017","настройка маркировки в 1с бухгалтерия","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с бухгалтерия» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки, бухгалтерия.","HIGH","retained_from_v6"
"kw-corv01-disc-964","настройка маркировки в 1с розница","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с розница» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки, розница.","HIGH","retained_from_v6"
"kw-corv01-disc-1071","настройка маркировки в 1с розница 2.3","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с розница 2.3» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки, розница, 2.3.","HIGH","retained_from_v6"
"kw-corv01-disc-1037","настройка маркировки в 1с розница 3.0","CORV-G06-01","CONTROLLED TEST — JUSTIFIED","controlled_test_justified: Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка маркировки в 1с роз","CONTROLLED","retained_from_v6"
"kw-corv01-disc-1016","настройка маркировки в 1с унф","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с унф» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки, унф.","HIGH","retained_from_v6"
"kw-corv01-disc-949","настройка маркировки в 1с ут","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с ут» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1022","настройка маркировки в 1с ут 11","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с ут 11» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1008","настройка маркировки в 1с ут 11.5","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки в 1с ут 11.5» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, маркировки, 11.5.","HIGH","retained_from_v6"
"kw-corv01-disc-1012","настройка сканера для маркировки в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройка сканера для маркировки в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройка, сканера, для, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1019","настройки сканирования кодов маркировки в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «настройки сканирования кодов маркировки в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: настройки, сканирования, кодов, маркировки.","HIGH","retained_from_v6"
"seed-CORV-G06-01-core-подключение-","подключение маркировки 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «подключение маркировки 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: подключение, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1038","подключение маркировки в 1с","CORV-G06-01","ACTIVE COMMERCIAL","ACTIVE: «подключение маркировки в 1с» — заказ услуги «Подключение маркировки в 1С»; ключевые сигналы: подключение, маркировки.","HIGH","retained_from_v6"
"kw-corv01-disc-1084","маркировка в 1с розница настройка номенклатуры","CORV-G06-02","ACTIVE COMMERCIAL","ACTIVE: «маркировка в 1с розница настройка номенклатуры» — заказ услуги «Настройка маркировки в 1С»; ключевые сигналы: маркировка, розница, настройка, номенклатуры.","HIGH","retained_from_v6"
"kw-corv01-disc-1081","маркировка моторных масел в 1с розница настройка","CORV-G06-02","ACTIVE COMMERCIAL","ACTIVE: «маркировка моторных масел в 1с розница настройка» — заказ услуги «Настройка маркировки в 1С»; ключевые сигналы: маркировка, моторных, масел, розница, настройка.","HIGH","retained_from_v6"
"seed-CORV-G06-02-core-настройка-ма","настройка маркировки 1с","CORV-G06-02","ACTIVE COMMERCIAL","ACTIVE: «настройка маркировки 1с» — заказ услуги «Настройка маркировки в 1С»; ключевые сигналы: настройка, маркировки.","HIGH","retained_from_v6"
"seed-CORV-G07-03-core-не-работает-","не работает синхронизация 1с","CORV-G07-03","ACTIVE COMMERCIAL","ACTIVE: «не работает синхронизация 1с» — заказ услуги «Восстановление обмена и синхронизации 1С»; ключевые сигналы: работает, синхронизация.","HIGH","retained_from_v6"
"kw-corv01-disc-2170","не работает синхронизация 1с 8.3","CORV-G07-03","ACTIVE COMMERCIAL","ACTIVE: «не работает синхронизация 1с 8.3» — заказ услуги «Восстановление обмена и синхронизации 1С»; ключевые сигналы: работает, синхронизация, 8.3.","HIGH","retained_from_v6"
"kw-corv01-disc-2209","после обновления 1с не работает синхронизация","CORV-G07-03","ACTIVE COMMERCIAL","ACTIVE: «после обновления 1с не работает синхронизация» — заказ услуги «Восстановление обмена и синхронизации 1С»; ключевые сигналы: после, обновления, работает, синхронизация.","HIGH","retained_from_v6"
"kw-corv01-disc-2207","почему не работает синхронизация в 1с","CORV-G07-03","ACTIVE COMMERCIAL","ACTIVE: «почему не работает синхронизация в 1с» — заказ услуги «Восстановление обмена и синхронизации 1С»; ключевые сигналы: почему, работает, синхронизация.","HIGH","retained_from_v6"
