"level","group_id","keyword","negative","result","note"
"direction","CORV-G03-05","1с отладка внешней печатной формы","маркировка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G02-05","сохранение доработок при обновлении 1с","рмк","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G02-01","примеры доработки 1с","отчет","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G01-08","образование программист 1с","тс пиот","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-08","систему маркировки лекарств","пив","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-03","коды маркировки честный знак в 1с","программист","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-01","маркировка в 1с","честный знак","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G07-02","1с ошибка печатная форма недоступна","обмен","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-01","интеграция сайта с 1с","маркировка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-04","синхронизация 1с 8.3","сайт","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G03-05","создание внешних печатных форм 1с 8.3","рмк","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G02-02","доработка конфигурации 1с","исправлен","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G02-01","доработки 1с зуп","обновлен","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G01-05","сопровождение 1с 8.3","доработка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G01-01","программист 1с","сопровождение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","задание программисту 1с -вакансия -обучение -курсы -резюме -как стать","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","задачи 1с программиста","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","нужен программист 1с","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","отзыв программисту 1с","как стать","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист 1с","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист 1с удаленно","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист аналитик 1с","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программисты 1с спб","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","работать программистом 1с","как стать","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","сколько программистов 1с","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","стоимость 1с программисты","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","стоимость часа 1с программиста","резюме","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-06","маркировка воды в 1с","программист вакансия","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-11","в 1с маркировка моторные масла","как сделать","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-03","маркировка честный знак в 1с erp","печатная форма","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-01","настройка маркировки в 1с розница 3.0","автозапчаст","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G07-01","1с не работает","доработка","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G05-03","1с мобильная касса синхронизация","перенос","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G04-01","себестоимость в 1с","закупок","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G03-03","1с вывести печатную форму","маркировка","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G02-01","1с доработка цены","курсы","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G01-02","программисты 1с новосибирск","ошибка","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G01-01","задание программисту 1с -вакансия -обучение -курсы -резюме -как стать","синхронизация","SAFE_PASS","Representative non-blocking check"
