source_term,canonical_term,status,category,language,priority,difficulty,expert_review,canonical_slug,merge_target,synonyms,notes
Заголовки H1–H6,Заголовки H1–H6,RENAME,technical SEO,MIXED,HIGH,SIMPLE,NO,заголовки-h1-h6,,теги заголовков,KEEP essentially; ensure en-dash consistency.
Запрос информационный,Информационный запрос,RENAME,content and semantics,RU,HIGH,SIMPLE,NO,информационный-запрос,,инфозапрос,Natural word order.
Запрос коммерческий,Коммерческий запрос,RENAME,content and semantics,RU,HIGH,SIMPLE,NO,коммерческий-запрос,,транзакционный запрос,Natural word order.
Запрос навигационный,Навигационный запрос,RENAME,content and semantics,RU,HIGH,SIMPLE,NO,навигационный-запрос,,навигационная выдача,Natural word order.
Заспамленность текста,Заспамленность текста,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,заспамленность-текста,,переспам,Default KEEP pending pilot-standard drafting.
Зеркало сайта,Главное зеркало сайта,MERGE,technical SEO,RU,LOW,MODERATE,NO,главное-зеркало-сайта,Главное зеркало сайта,сайт-зеркало,Cover mirrors under главное зеркало / canonical domain.
Индекс,Индекс,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,индекс,,поисковая база,Default KEEP pending pilot-standard drafting.
Индекс качества сайта (ИКС),ИКС,RENAME,search engines and indexing,RU,MEDIUM,MODERATE,YES,икс,,индекс качества,Yandex SQI historical — verify current product status.
Индексация,Индексация,KEEP,search engines and indexing,RU,HIGH,MODERATE,NO,индексация,,индексирование,Default KEEP pending pilot-standard drafting.
Интент,Поисковый интент,RENAME,content and semantics,RU,HIGH,MODERATE,NO,поисковый-интент,,search intent,Clearer title; covers informational/commercial/navigational intents.
Исходящие ссылки,Ссылка,MERGE,link building,RU,LOW,SIMPLE,NO,ссылка,Ссылка,внешние ссылки,Direction subtype; cover under Ссылка + related link terms.
Каннибализация запросов,Каннибализация запросов,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,каннибализация-запросов,,внутренняя конкуренция страниц,Default KEEP pending pilot-standard drafting.
Канонический URL (canonical),Канонический URL,RENAME,technical SEO,MIXED,HIGH,MODERATE,NO,канонический-url,,каноническая страница,RU title; canonical as synonym.
КАПЧА (CAPTCHA),CAPTCHA,RENAME,security and infrastructure,EN,LOW,SIMPLE,NO,captcha,,captcha-проверка,Prefer CAPTCHA; RU капча as synonym.
Карта сайта (sitemap.xml),Карта сайта,RENAME,technical SEO,RU,HIGH,SIMPLE,NO,карта-сайта,,XML-карта сайта,Distinguish HTML sitemap vs XML sitemap in definition.
Кластеризация запросов,Кластеризация запросов,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,кластеризация-запросов,,группировка ключей,Default KEEP pending pilot-standard drafting.
Клик,Клик,KEEP,SEO fundamentals,RU,LOW,MODERATE,NO,клик,,переход,Default KEEP pending pilot-standard drafting.
Кликфрод,Кликфрод,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,кликфрод,,click fraud,Default KEEP pending pilot-standard drafting.
Ключевое слово,Ключевое слово,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,ключевое-слово,,ключевик,Default KEEP pending pilot-standard drafting.
Конверсия,Конверсия,KEEP,analytics and metrics,RU,HIGH,MODERATE,NO,конверсия,,CR (conversion rate),Default KEEP pending pilot-standard drafting.
Конкурентность запроса,Конкурентность запроса,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,конкурентность-запроса,,сложность запроса,Default KEEP pending pilot-standard drafting.
Контент,Контент,REVIEW,content and semantics,RU,MEDIUM,SIMPLE,YES,контент,,наполнение сайта,Very broad; KEEP only if short foundational definition wanted.
Контент-маркетинг,Контент-маркетинг,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,контент-маркетинг,,контентная стратегия,Default KEEP pending pilot-standard drafting.
Копирайтинг,Копирайтинг,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,копирайтинг,,написание текстов,Default KEEP pending pilot-standard drafting.
Крауд-маркетинг,Аутрич,MERGE,link building,RU,LOW,MODERATE,YES,аутрич,Аутрич,crowd-маркетинг,Overlaps outreach / forum mentions; merge carefully — expert check.
Краулер (поисковый робот),Поисковый робот,RENAME,search engines and indexing,RU,HIGH,SIMPLE,NO,поисковый-робот,,"паук, бот поисковика",Prefer Russian; crawler as synonym. Related to Краулинг.
Краулинг,Краулинг,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,краулинг,,сканирование сайта,Default KEEP pending pilot-standard drafting.
Краулинговый бюджет,Краулинговый бюджет,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,краулинговый-бюджет,,бюджет сканирования,Default KEEP pending pilot-standard drafting.
Лайк и шара,,EXCLUDE,digital marketing,RU,LOW,SIMPLE,NO,,,социальные действия,"Colloquial social engagement phrase, not a glossary concept."
Лендинг (посадочная страница),Посадочная страница,RENAME,UX and conversion,RU,MEDIUM,SIMPLE,NO,посадочная-страница,,landing page,Prefer clear RU; лендинг synonym.
Лид,Лид,KEEP,SEO fundamentals,RU,LOW,MODERATE,NO,лид,,заявка,Default KEEP pending pilot-standard drafting.
Линкбилдинг,Линкбилдинг,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,линкбилдинг,,ссылочное продвижение,Default KEEP pending pilot-standard drafting.
Матрикснет (Matrixnet),MatrixNet,RENAME,search engines and indexing,EN,LOW,EXPERT,YES,matrixnet,,MatrixNet,Historical Yandex ML ranking; expert verify current relevance.
Мета-тег Keywords,Метатеги,MERGE,technical SEO,MIXED,LOW,SIMPLE,NO,метатеги,Метатеги,keywords-тег,"Obsolete ranking signal; mention historically under Метатеги, do not keep separate page."
Метатеги,Метатеги,KEEP,technical SEO,RU,MEDIUM,MODERATE,NO,метатеги,,мета-данные,Default KEEP pending pilot-standard drafting.
Микроразметка (Schema.org),Микроразметка,RENAME,technical SEO,RU,HIGH,MODERATE,NO,микроразметка,,структурированная разметка,Schema.org as primary vocabulary synonym.
Минусинск (алгоритм),Минусинск,RENAME,search engines and indexing,RU,MEDIUM,MODERATE,YES,минусинск,,фильтр Минусинск,Yandex link spam algorithm — verify status.
Мобильная версия сайта,Мобильная версия сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,мобильная-версия-сайта,,мобильная версия,Default KEEP pending pilot-standard drafting.
Морда,Морда,KEEP,SEO fundamentals,RU,LOW,MODERATE,NO,морда,,главная страница,Default KEEP pending pilot-standard drafting.
Морфологическое вхождение,Морфологическое вхождение,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,морфологическое-вхождение,,словоформенное вхождение,Default KEEP pending pilot-standard drafting.
Мультиязычность сайта,Мультиязычность сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,мультиязычность-сайта,,многоязычный сайт,Default KEEP pending pilot-standard drafting.
Навигационный интент,Навигационный интент,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,навигационный-интент,,навигационное намерение,Default KEEP pending pilot-standard drafting.
Небрендовый трафик,Небрендовый трафик,KEEP,digital marketing,RU,MEDIUM,MODERATE,NO,небрендовый-трафик,,категорийный трафик,Default KEEP pending pilot-standard drafting.
Неестественная ссылка,Ссылочный спам,MERGE,link building,RU,LOW,MODERATE,NO,ссылочный-спам,Ссылочный спам,искусственная ссылка,Overlaps strongly with ссылочный спам / unnatural links.
Обмен ссылками между проектами Исполнителя,,EXCLUDE,link building,RU,LOW,SIMPLE,YES,,,внутренний ссылочный обмен,"Contractual/operational practice, not a public glossary term."
Обмен тематически близкими ссылками,,EXCLUDE,link building,RU,LOW,SIMPLE,NO,,,партнёрский обмен ссылками,Service/process phrase; not a standalone concept (cover under естественные/неестественные ссылки if needed).
Обратная ссылка (backlink),Обратная ссылка,RENAME,link building,RU,HIGH,SIMPLE,NO,обратная-ссылка,,входящая ссылка,RU canonical; backlink synonym.
Оптимизация под голосовой поиск,Оптимизация под голосовой поиск,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,оптимизация-под-голосовой-поиск,,voice search SEO,Default KEEP pending pilot-standard drafting.
Органическая выдача,Органическая выдача,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,органическая-выдача,,органика,Default KEEP pending pilot-standard drafting.
Органический трафик,Органический трафик,KEEP,analytics and metrics,RU,HIGH,SIMPLE,NO,органический-трафик,,естественный трафик,Distinct analytics concept from SERP/organic results.
Отдел антиспама,Отдел антиспама,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,отдел-антиспама,,антиспам-служба,Default KEEP pending pilot-standard drafting.
Отказы (показатель отказов),Показатель отказов,RENAME,analytics and metrics,RU,HIGH,MODERATE,YES,показатель-отказов,,bounce rate,Bounce rate / Metrika refusal metrics differ — expert note required.
Пагинация,Пагинация,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,пагинация,,постраничная навигация,Default KEEP pending pilot-standard drafting.
Панда (алгоритм),Google Panda,RENAME,search engines and indexing,EN,MEDIUM,MODERATE,YES,google-panda,,фильтр Panda,Historical Google quality update; note absorption into core updates.
Панель вебмастера,Панель вебмастера,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,панель-вебмастера,,webmaster tools,Default KEEP pending pilot-standard drafting.
Переспам ключевыми словами,Заспамленность текста,MERGE,content and semantics,RU,LOW,SIMPLE,NO,заспамленность-текста,Заспамленность текста,keyword stuffing,Same concept as заспамленность / keyword stuffing.
Пингвин (алгоритм),Google Penguin,RENAME,search engines and indexing,EN,MEDIUM,MODERATE,YES,google-penguin,,фильтр Penguin,Historical link spam update; note real-time incorporation.
Плотность ключевых слов,Плотность ключевых слов,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,плотность-ключевых-слов,,keyword density,Default KEEP pending pilot-standard drafting.
Поведенческие факторы,Поведенческие факторы,KEEP,SEO fundamentals,RU,HIGH,EXPERT,YES,поведенческие-факторы,,ПФ,Yandex-centric concept; avoid inventing Google parity claims.
Подсветка в выдаче,Подсветка в выдаче,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,подсветка-в-выдаче,,выделение в сниппете,Default KEEP pending pilot-standard drafting.
Позиции сайта,Позиции сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,позиции-сайта,,ранжирование сайта,Default KEEP pending pilot-standard drafting.
Поисковая выдача (SERP),Поисковая выдача,RENAME,search engines and indexing,RU,HIGH,SIMPLE,NO,поисковая-выдача,,SERP,SERP as synonym.
Поисковая контекстная реклама,Поисковая контекстная реклама,KEEP,contextual advertising,RU,MEDIUM,MODERATE,NO,поисковая-контекстная-реклама,,контекстная реклама в поиске,Default KEEP pending pilot-standard drafting.
Поисковая оптимизация,SEO,MERGE,SEO fundamentals,RU,LOW,SIMPLE,NO,seo,SEO,SEO-оптимизация,Russian name for SEO; merge into SEO page as synonym.
Поисковый запрос,Поисковый запрос,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,поисковый-запрос,,запрос пользователя,Default KEEP pending pilot-standard drafting.
Поисковый спам,Поисковый спам,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,поисковый-спам,,спам в выдаче,Default KEEP pending pilot-standard drafting.
Посетитель,Посетитель,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,посетитель,,пользователь сайта,Default KEEP pending pilot-standard drafting.
Пост-фильтры,Пост-фильтры,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,пост-фильтры,,постфильтрация,Default KEEP pending pilot-standard drafting.
ПРЕСЕО,ПРЕСЕО,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,пресео,,предварительный SEO-этап,Default KEEP pending pilot-standard drafting.
Продвижение сайта,SEO,MERGE,SEO fundamentals,RU,LOW,SIMPLE,NO,seo,SEO,раскрутка сайта,Broader marketing phrase; treat as synonym of SEO for glossary purposes.
Процент вхождений,Процент вхождений,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,процент-вхождений,,доля вхождений,Default KEEP pending pilot-standard drafting.
Прямые заходы,Прямые заходы,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,прямые-заходы,,direct traffic,Default KEEP pending pilot-standard drafting.
Разбавленное вхождение,Разбавленное вхождение,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,разбавленное-вхождение,,неточное вхождение,Default KEEP pending pilot-standard drafting.
Ранжирование,Ранжирование,KEEP,SEO fundamentals,RU,HIGH,MODERATE,NO,ранжирование,,рейтингование,Default KEEP pending pilot-standard drafting.
Редирект,Редирект,KEEP,technical SEO,RU,MEDIUM,MODERATE,NO,редирект,,redirect,Default KEEP pending pilot-standard drafting.
Редирект 301,Редирект,MERGE,technical SEO,RU,MEDIUM,MODERATE,NO,редирект,Редирект,permanent redirect,Subtype of redirect; document 301/302 on parent page.
Редирект 302,Редирект,MERGE,technical SEO,RU,MEDIUM,MODERATE,NO,редирект,Редирект,temporary redirect,Subtype of redirect; document on parent page.
Релевантность страницы,Релевантность страницы,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,релевантность-страницы,,соответствие контента запросу,Default KEEP pending pilot-standard drafting.
Реферальный трафик,Реферальный трафик,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,реферальный-трафик,,referral traffic,Default KEEP pending pilot-standard drafting.
Рунет,Рунет,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,рунет,,русский интернет,Default KEEP pending pilot-standard drafting.
Сателлит,Сателлит,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,сателлит,,сайт-спутник,Default KEEP pending pilot-standard drafting.
СДЛ,СДЛ,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,сдл,,сайты для людей,Default KEEP pending pilot-standard drafting.
Семантическое ядро,Семантическое ядро,KEEP,content and semantics,RU,HIGH,MODERATE,NO,семантическое-ядро,,семантика сайта,Default KEEP pending pilot-standard drafting.
Сервер,,EXCLUDE,website development,RU,LOW,SIMPLE,NO,,,веб-сервер,Too basic for this glossary.
Сквозная аналитика,Сквозная аналитика,KEEP,analytics and metrics,RU,MEDIUM,MODERATE,NO,сквозная-аналитика,,end-to-end аналитика,Default KEEP pending pilot-standard drafting.
Сквозные ссылки,Внутренняя перелинковка,MERGE,link building,RU,LOW,MODERATE,NO,внутренняя-перелинковка,Внутренняя перелинковка,footer-ссылки,Sitewide nav links; discuss under internal linking.
Скорость загрузки страницы,Скорость загрузки страницы,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,скорость-загрузки-страницы,,page speed,Default KEEP pending pilot-standard drafting.
Скрипт,Скрипт,REVIEW,website development,RU,LOW,SIMPLE,YES,скрипт,,script,Too vague — may EXCLUDE.
Сниппет,Сниппет,KEEP,search engines and indexing,RU,HIGH,SIMPLE,NO,сниппет,,описание в выдаче,Valid SERP concept; related to поисковая выдача.
СНСС (ранее НПС),СНСС (ранее НПС),KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,YES,снсс-ранее-нпс,,НПС,Default KEEP pending pilot-standard drafting.
Социальные сигналы,Социальные сигналы,KEEP,digital marketing,RU,MEDIUM,MODERATE,NO,социальные-сигналы,,соцсигналы,Default KEEP pending pilot-standard drafting.
СПЕКТР,СПЕКТР,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,спектр,,алгоритм разнообразия выдачи,Default KEEP pending pilot-standard drafting.
Ссылка,Ссылка,REVIEW,link building,RU,MEDIUM,SIMPLE,YES,ссылка,,гиперссылка,Very broad foundational term — KEEP short or EXCLUDE in favor of specific link terms.
Ссылочная масса,Ссылочная масса,KEEP,link building,RU,MEDIUM,MODERATE,NO,ссылочная-масса,,ссылочный вес,Default KEEP pending pilot-standard drafting.
Ссылочный агрегатор,Биржа ссылок,MERGE,link building,RU,LOW,MODERATE,NO,биржа-ссылок,Биржа ссылок,агрегатор бэклинков,Related link-marketplace tooling; fold under биржа ссылок.
Ссылочный взрыв,Ссылочный спам,MERGE,link building,RU,LOW,MODERATE,YES,ссылочный-спам,Ссылочный спам,линкующий взрыв,Jargon variant of unnatural link growth / spam pattern.
Ссылочный граф,Ссылочный профиль,MERGE,link building,RU,LOW,EXPERT,YES,ссылочный-профиль,Ссылочный профиль,граф ссылок,Technical graph concept; cover under profile / backlink analysis.
Ссылочный профиль,Ссылочный профиль,KEEP,link building,RU,MEDIUM,MODERATE,NO,ссылочный-профиль,,профиль ссылок,Default KEEP pending pilot-standard drafting.
Ссылочный спам,Ссылочный спам,KEEP,link building,RU,MEDIUM,MODERATE,NO,ссылочный-спам,,спам-ссылки,Default KEEP pending pilot-standard drafting.
Структура сайта,Структура сайта,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,структура-сайта,,архитектура сайта,Default KEEP pending pilot-standard drafting.
Счетчик посещаемости,Счетчик посещаемости,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,счетчик-посещаемости,,счётчик статистики,Default KEEP pending pilot-standard drafting.
Тег description,Метатеги,MERGE,technical SEO,MIXED,MEDIUM,SIMPLE,NO,метатеги,Метатеги,мета-описание,Specific meta tag; cover under Метатеги with H1/title distinctions.
Тег title,Метатеги,MERGE,technical SEO,MIXED,MEDIUM,SIMPLE,NO,метатеги,Метатеги,заголовок title,Document title element; fold under Метатеги cluster (note: title is not always called a meta tag — distinguish in parent definition).
Текстовые факторы,Текстовые факторы,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,текстовые-факторы,,текстовое ранжирование,Default KEEP pending pilot-standard drafting.
Техническая оптимизация,Техническая оптимизация,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,техническая-оптимизация,,техническое SEO,Default KEEP pending pilot-standard drafting.
тИЦ,тИЦ,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,тиц,,тематический индекс цитирования,Default KEEP pending pilot-standard drafting.
Топ-10 / Топ-3,Позиции сайта,MERGE,SEO fundamentals,RU,LOW,SIMPLE,NO,позиции-сайта,Позиции сайта,первая десятка выдачи,Colloquial ranking phrase; cover under позиции.
Точное вхождение,Точное вхождение,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,точное-вхождение,,прямое вхождение,Default KEEP pending pilot-standard drafting.
Транзакционный интент,Транзакционный интент,KEEP,content and semantics,RU,MEDIUM,MODERATE,NO,транзакционный-интент,,транзакционный запрос,Default KEEP pending pilot-standard drafting.
Траст сайта,Траст сайта,KEEP,SEO fundamentals,RU,LOW,MODERATE,NO,траст-сайта,,доверие домена,Default KEEP pending pilot-standard drafting.
Трафик,Визит / Сессия,MERGE,analytics and metrics,RU,LOW,SIMPLE,NO,визит-сессия,Визит / Сессия,посещаемость,Overly broad; traffic types covered by organic/referral/branded terms.
УВ,УВ,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,ув,,уникальные визиты,Default KEEP pending pilot-standard drafting.
Уникальность текста,Уникальность текста,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,уникальность-текста,,оригинальность текста,Default KEEP pending pilot-standard drafting.
Уникальный посетитель,Уникальный посетитель,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,уникальный-посетитель,,unique visitor,Default KEEP pending pilot-standard drafting.
Устранение дублей,Устранение дублей,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,устранение-дублей,,склейка дублей,Default KEEP pending pilot-standard drafting.
Файл robots.txt,robots.txt,RENAME,technical SEO,EN,HIGH,MODERATE,NO,robots.txt,,файл индексных инструкций,Industry-standard title.
Фактор ранжирования,Фактор ранжирования,KEEP,SEO fundamentals,RU,MEDIUM,MODERATE,NO,фактор-ранжирования,,ранжирующий фактор,Default KEEP pending pilot-standard drafting.
Фильтр поисковой системы,Фильтр поисковой системы,KEEP,search engines and indexing,RU,MEDIUM,MODERATE,NO,фильтр-поисковой-системы,,санкции поисковика,Default KEEP pending pilot-standard drafting.
Хлебные крошки,Хлебные крошки,KEEP,technical SEO,RU,MEDIUM,SIMPLE,NO,хлебные-крошки,,breadcrumbs,Valid UX/SEO navigation concept.
