source_term,canonical_term,final_disposition,category,priority,difficulty,expert_review_original,verification_status,canonical_slug,merge_target,synonyms,source_keywords,source_lsi,editorial_notes,batch_candidate
Аффилированность,Аффилированность,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,аффилированность,,аффилиат,аффилированность сайтов,"связанные ресурсы одного владельца, склейка в выдаче, ограничение видимости аффилиатов",Default KEEP pending pilot-standard drafting.,NO
Баден-Баден (алгоритм),Баден-Баден,APPROVED_RENAME,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,баден-баден,,фильтр Баден-Баден,алгоритм Баден-Баден,"переспам текста, санкции Яндекса, некачественный контент",Drop parenthetical; Yandex algorithm — verify current status. | Approved as historical Yandex algorithm name; verify status wording at publish.,NO
Бан сайта,Бан сайта,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,бан-сайта,,бан,бан сайта,"исключение из индекса, запрет индексирования, санкции модератора",Default KEEP pending pilot-standard drafting.,NO
Безанкорная ссылка,Безанкорная ссылка,APPROVED,link building,MEDIUM,MODERATE,NO,standard,безанкорная-ссылка,,ссылка без анкора,безанкорная ссылка,"ссылка без ключевого текста, естественный ссылочный профиль, URL как анкор",Default KEEP pending pilot-standard drafting.,NO
Белая оптимизация,Белая оптимизация,APPROVED,SEO fundamentals,MEDIUM,SIMPLE,NO,standard,белая-оптимизация,,white hat,"белая оптимизация, white hat SEO","разрешённые методы продвижения, естественное развитие сайта, соответствие рекомендациям поисковиков",Contrast with чёрные методы; avoid moralizing.,NO
Биржа ссылок,Биржа ссылок,APPROVED,link building,MEDIUM,MODERATE,NO,standard,биржа-ссылок,,ссылочная биржа,биржа ссылок,"покупка и продажа ссылок, автоматизированная площадка размещения, донор и заказчик",Default KEEP pending pilot-standard drafting.,NO
Битые ссылки,Битые ссылки,APPROVED,link building,MEDIUM,MODERATE,NO,standard,битые-ссылки,,мёртвые ссылки,"битые ссылки, неработающие ссылки","ошибка 404, потеря веса страницы, проверка ссылок",Default KEEP pending pilot-standard drafting.,NO
Брендовый трафик,Брендовый трафик,APPROVED,digital marketing,MEDIUM,MODERATE,NO,standard,брендовый-трафик,,брендовые переходы,брендовый трафик,"запросы по названию бренда, узнаваемость компании",Default KEEP pending pilot-standard drafting.,NO
Быстрые ссылки (сайтлинки),Быстрые ссылки,APPROVED_RENAME,search engines and indexing,MEDIUM,SIMPLE,NO,standard,быстрые-ссылки,,sitelinks,"быстрые ссылки, sitelinks","дополнительные ссылки в выдаче, структура сайта",Canonical RU title; sitelinks as synonym.,NO
Веб-мастер,Веб-мастер,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,веб-мастер,,администратор сайта,"веб-мастер, вебмастер сайта","управление сайтом, техническая поддержка, SEO-специалист",Default KEEP pending pilot-standard drafting.,NO
Веб-страница,Веб-страница,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,страница сайта,"веб-страница, HTML-страница","файл страницы сайта, отображение в браузере, единица контента сайта",Too basic/generic for professional SEO glossary.,NO
Вертикальный поиск,Вертикальный поиск,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,вертикальный-поиск,,специализированный поиск,вертикальный поиск,"узкоспециализированный поиск, поиск по картинкам/видео/товарам, тематическая выдача",Default KEEP pending pilot-standard drafting.,NO
Видимость сайта,Видимость сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,видимость-сайта,,поисковая видимость,видимость сайта в поиске,"охват по ключевым словам, доля показов, общий охват выдачи",Default KEEP pending pilot-standard drafting.,NO
Визит / Сессия,Сессия,APPROVED_RENAME,analytics and metrics,HIGH,SIMPLE,NO,standard,сессия,,сессия,"визит, сессия пользователя","период активности на сайте, длительность посещения, количество действий за визит",Prefer Сессия; визит as synonym (Yandex Metrika terminology).,NO
Внешняя оптимизация,Внешняя оптимизация,APPROVED,SEO fundamentals,HIGH,MODERATE,NO,standard,внешняя-оптимизация,,off-page оптимизация,внешняя оптимизация сайта,"работа с внешними ссылками, наращивание ссылочной массы, повышение ссылаемости",Default KEEP pending pilot-standard drafting.,NO
Внутренняя оптимизация,Внутренняя оптимизация,APPROVED,SEO fundamentals,HIGH,MODERATE,NO,standard,внутренняя-оптимизация,,on-page оптимизация,внутренняя оптимизация,"мета-теги, структура сайта, перелинковка",Default KEEP pending pilot-standard drafting.,NO
Внутренняя перелинковка,Внутренняя перелинковка,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,внутренняя-перелинковка,,перелинковка,внутренняя перелинковка,"ссылки между страницами, распределение веса, навигация по сайту",Default KEEP pending pilot-standard drafting.,NO
Вода в тексте,Вода в тексте,APPROVED,content and semantics,MEDIUM,SIMPLE,NO,standard,вода-в-тексте,,водность текста,вода в тексте,"неинформативные фразы, снижение полезности контента, показатель водности",Distinct from keyword stuffing; keep separate.,NO
Воронка продаж,Воронка продаж,APPROVED,UX and conversion,MEDIUM,MODERATE,NO,standard,воронка-продаж,,конверсионная воронка,воронка продаж,"этапы конверсии, путь пользователя, целевое действие",Default KEEP pending pilot-standard drafting.,NO
ВЧ / СЧ / НЧ запросы,Частотность запроса,APPROVED_RENAME,content and semantics,HIGH,SIMPLE,NO,standard,частотность-запроса,,"ВЧ, СЧ, НЧ, мНЧ","высокочастотные, среднечастотные, низкочастотные запросы","частотность запроса, конкурентность по частоте, распределение семантики",Normalize away slash-abbreviation title; cover ВЧ/СЧ/НЧ inside.,NO
Геозависимый запрос,Геозависимый запрос,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,геозависимый-запрос,,региональный запрос,геозависимый запрос,"региональная выдача, локальный поиск, привязка к городу",Default KEEP pending pilot-standard drafting.,NO
Геонезависимый запрос,Геонезависимый запрос,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,геонезависимый-запрос,,нерегиональный запрос,геонезависимый запрос,"одинаковая выдача во всех регионах, общая тематика запроса",Default KEEP pending pilot-standard drafting.,NO
Главная страница сайта,Главная страница сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,главная-страница-сайта,,"морда, домашняя страница",главная страница сайта,"точка входа на сайт, домашняя страница, первая страница при заходе",Default KEEP pending pilot-standard drafting.,NO
Главное зеркало сайта,Главное зеркало сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,главное-зеркало-сайта,,основное зеркало,главное зеркало сайта,"основная версия для индексации, склейка www и без www, выбор канонического домена",Default KEEP pending pilot-standard drafting.,NO
Глубина вложенности,Глубина вложенности,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,глубина-вложенности,,уровень вложенности,глубина вложенности страницы,"количество кликов от главной, доступность для робота, структура каталога",Default KEEP pending pilot-standard drafting.,NO
Гостевой постинг,Аутрич,MERGED,link building,LOW,SIMPLE,NO,not_required,,Аутрич,guest posting,"гостевой постинг, гостевые статьи","публикация на стороннем сайте, естественная ссылка, охват аудитории",Common outreach tactic; synonym/related under Аутрич.,NO
ГС,Главная страница сайта,MERGED,SEO fundamentals,LOW,SIMPLE,NO,not_required,,Главная страница сайта,главная страница,"ГС, главная страница (жаргон)","ссылки с главной страницы, вес главной, размещение анонсов на ГС",SEO slang for homepage; synonym only.,NO
Дашборд (Dashboard),Дашборд,APPROVED_RENAME,analytics and metrics,LOW,SIMPLE,NO,standard,дашборд,,панель мониторинга,"дашборд, dashboard","панель показателей, визуализация метрик, сводный отчёт по проекту",Russian title; English as synonym.,NO
Длинный хвост (long tail),Длинный хвост,APPROVED_RENAME,content and semantics,HIGH,SIMPLE,NO,standard,длинный-хвост,,длиннохвостые запросы,"низкочастотные запросы, long tail","узкая тематика запроса, конкретизация запроса, конверсионность",RU canonical; long tail synonym.,NO
Домен,Домен,EXCLUDED,website development,LOW,SIMPLE,NO,not_required,,,доменное имя,"домен, доменное имя","адрес сайта, регистрация домена, доменная зона",Too basic; keep DA/DR/WHOIS instead. Operator may override to KEEP.,NO
Донор ссылки,Донор ссылки,APPROVED,link building,MEDIUM,MODERATE,NO,standard,донор-ссылки,,сайт-донор,"донор ссылки, сайт-донор","размещение ссылки, тематика донора, качество донора",Default KEEP pending pilot-standard drafting.,NO
Дорвей,Дорвей,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,дорвей,,doorway,"дорвей, doorway-страницы","страницы-ловушки трафика, перенаправление без ведома пользователя, форма поискового спама",Default KEEP pending pilot-standard drafting.,NO
Дубли страниц,Дубли страниц,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,дубли-страниц,,дублирующийся контент,дубли страниц,"повторяющийся контент, canonical, склейка страниц",Default KEEP pending pilot-standard drafting.,YES
Естественные ссылки,Естественные ссылки,APPROVED,link building,MEDIUM,MODERATE,NO,standard,естественные-ссылки,,органические ссылки,естественные ссылки,"органическое размещение, ссылки без покупки, доверие поисковика",Default KEEP pending pilot-standard drafting.,NO
Заголовки H1–H6,Заголовки H1–H6,APPROVED_RENAME,technical SEO,HIGH,SIMPLE,NO,standard,заголовки-h1-h6,,теги заголовков,заголовки H1-H6,"иерархия заголовков, структура текста, разметка страницы",KEEP essentially; ensure en-dash consistency.,NO
Запрос информационный,Информационный запрос,APPROVED_RENAME,content and semantics,HIGH,SIMPLE,NO,standard,информационный-запрос,,инфозапрос,информационный запрос,"поиск информации, ответ на вопрос, обучающий контент",Natural word order.,NO
Запрос коммерческий,Коммерческий запрос,APPROVED_RENAME,content and semantics,HIGH,SIMPLE,NO,standard,коммерческий-запрос,,транзакционный запрос,коммерческий запрос,"намерение купить, карточка товара, цена и заказ",Natural word order.,NO
Запрос навигационный,Навигационный запрос,APPROVED_RENAME,content and semantics,HIGH,SIMPLE,NO,standard,навигационный-запрос,,навигационная выдача,навигационный запрос,"поиск конкретного сайта, брендовый поиск, точный адрес",Natural word order.,NO
Заспамленность текста,Заспамленность текста,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,заспамленность-текста,,переспам,"заспамленность текста, тошнота текста","переспам ключевыми словами, читаемость текста, естественность языка",Default KEEP pending pilot-standard drafting.,NO
Зеркало сайта,Главное зеркало сайта,MERGED,technical SEO,LOW,MODERATE,NO,not_required,,Главное зеркало сайта,сайт-зеркало,зеркало сайта,"дублирующийся домен, www и без www, склейка зеркал",Cover mirrors under главное зеркало / canonical domain.,NO
Индекс,Индекс,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,индекс,,поисковая база,индекс поисковой системы,"база данных поисковика, словарь слов и страниц, хранилище просканированных страниц",Default KEEP pending pilot-standard drafting.,NO
Индекс качества сайта (ИКС),ИКС,APPROVED_RENAME,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,икс,,индекс качества,"ИКС, индекс качества сайта","показатель Яндекса, оценка полезности сайта, влияние на ранжирование",Yandex SQI historical — verify current product status. | Approved; Yandex SQI product — describe carefully.,NO
Индексация,Индексация,APPROVED,search engines and indexing,HIGH,MODERATE,NO,standard,индексация,,индексирование,индексация сайта,"добавление страниц в базу поисковика, сканирование, обновление индекса",Default KEEP pending pilot-standard drafting.,YES
Интент,Поисковый интент,APPROVED_RENAME,content and semantics,HIGH,MODERATE,NO,standard,поисковый-интент,,search intent,"интент запроса, поисковое намерение","цель пользователя, тип запроса, соответствие контента намерению",Clearer title; covers informational/commercial/navigational intents.,YES
Исходящие ссылки,Ссылка,MERGED,link building,LOW,SIMPLE,NO,not_required,,Ссылка,внешние ссылки,исходящие ссылки,"ссылки на внешние сайты, вес страницы, качество ссылочного окружения",Direction subtype; cover under Ссылка + related link terms.,NO
Каннибализация запросов,Каннибализация запросов,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,каннибализация-запросов,,внутренняя конкуренция страниц,каннибализация запросов,"конкуренция страниц сайта, дублирование релевантности, потеря позиций",Default KEEP pending pilot-standard drafting.,NO
Канонический URL (canonical),Канонический URL,APPROVED_RENAME,technical SEO,HIGH,MODERATE,NO,standard,канонический-url,,каноническая страница,"canonical, канонический адрес","устранение дублей, основная версия страницы, rel=canonical",RU title; canonical as synonym.,YES
КАПЧА (CAPTCHA),CAPTCHA,APPROVED_RENAME,security and infrastructure,LOW,SIMPLE,NO,standard,captcha,,captcha-проверка,"капча, CAPTCHA","проверка на робота, защита формы от ботов, тест Тьюринга на сайте",Prefer CAPTCHA; RU капча as synonym.,NO
Карта сайта (sitemap.xml),Карта сайта,APPROVED_RENAME,technical SEO,HIGH,SIMPLE,NO,standard,карта-сайта,,XML-карта сайта,"sitemap.xml, карта сайта","индексация страниц, структура сайта для роботов, файл карты",Distinguish HTML sitemap vs XML sitemap in definition.,YES
Кластеризация запросов,Кластеризация запросов,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,кластеризация-запросов,,группировка ключей,кластеризация запросов,"группировка ключевых слов, seo-кластер, структура сайта под запросы",Default KEEP pending pilot-standard drafting.,NO
Клик,Клик,APPROVED,SEO fundamentals,LOW,MODERATE,NO,standard,клик,,переход,клик,"переход по ссылке или баннеру, действие пользователя, событие в аналитике",Default KEEP pending pilot-standard drafting.,NO
Кликфрод,Кликфрод,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,кликфрод,,click fraud,кликфрод,"накрутка кликов по рекламе, мошенничество с CPC, боты вместо пользователей",Default KEEP pending pilot-standard drafting.,NO
Ключевое слово,Ключевое слово,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,ключевое-слово,,ключевик,"ключевое слово, ключевой запрос","поисковый запрос, семантика страницы, частотность",Default KEEP pending pilot-standard drafting.,NO
Конверсия,Конверсия,APPROVED,analytics and metrics,HIGH,MODERATE,NO,standard,конверсия,,CR (conversion rate),конверсия сайта,"целевое действие, коэффициент конверсии, воронка продаж",Default KEEP pending pilot-standard drafting.,YES
Конкурентность запроса,Конкурентность запроса,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,конкурентность-запроса,,сложность запроса,конкурентность запроса,"сложность продвижения, число конкурентов в выдаче, стоимость клика",Default KEEP pending pilot-standard drafting.,NO
Контент,Контент,DEFERRED,content and semantics,MEDIUM,SIMPLE,YES,not_required,,,наполнение сайта,контент сайта,"информационное наполнение, тексты и медиа, содержимое страницы",Very broad; KEEP only if short foundational definition wanted. | Too broad foundational term; defer separate article unless short fundamentals layer authorized.,NO
Контент-маркетинг,Контент-маркетинг,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,контент-маркетинг,,контентная стратегия,контент-маркетинг,"полезный контент, привлечение аудитории, экспертные статьи",Default KEEP pending pilot-standard drafting.,NO
Копирайтинг,Копирайтинг,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,копирайтинг,,написание текстов,копирайтинг,"написание текстов, уникальный контент, продающий текст",Default KEEP pending pilot-standard drafting.,NO
Крауд-маркетинг,Аутрич,MERGED,link building,LOW,MODERATE,YES,not_required,,Аутрич,crowd-маркетинг,крауд-маркетинг,"размещение ссылок на форумах, естественные упоминания, отзывы с ссылкой",Overlaps outreach / forum mentions; merge carefully — expert check.,NO
Краулер (поисковый робот),Поисковый робот,APPROVED_RENAME,search engines and indexing,HIGH,SIMPLE,NO,standard,поисковый-робот,,"паук, бот поисковика","краулер, поисковый робот","сканирование страниц, индексирующий бот, обход сайта",Prefer Russian; crawler as synonym. Related to Краулинг.,NO
Краулинг,Краулинг,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,краулинг,,сканирование сайта,краулинг сайта,"обход страниц роботом, сканирование контента, доступность для индексации",Default KEEP pending pilot-standard drafting.,YES
Краулинговый бюджет,Краулинговый бюджет,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,краулинговый-бюджет,,бюджет сканирования,краулинговый бюджет,"лимит сканирования, оптимизация обхода робота, крупные сайты",Default KEEP pending pilot-standard drafting.,NO
Лайк и шара,Лайк и шара,EXCLUDED,digital marketing,LOW,SIMPLE,NO,not_required,,,социальные действия,"лайк, шара (share)","социальные реакции, репост в соцсетях, вовлечённость аудитории","Colloquial social engagement phrase, not a glossary concept.",NO
Лендинг (посадочная страница),Посадочная страница,APPROVED_RENAME,UX and conversion,MEDIUM,SIMPLE,NO,standard,посадочная-страница,,landing page,"лендинг, посадочная страница","целевая страница, конверсионная страница, продающий дизайн",Prefer clear RU; лендинг synonym.,NO
Лид,Лид,APPROVED,SEO fundamentals,LOW,MODERATE,NO,standard,лид,,заявка,лид,"потенциальный клиент, заявка с сайта, целевой контакт",Default KEEP pending pilot-standard drafting.,NO
Линкбилдинг,Линкбилдинг,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,линкбилдинг,,ссылочное продвижение,"линкбилдинг, ссылочное продвижение","наращивание ссылочной массы, покупка ссылок, естественный ссылочный профиль",Default KEEP pending pilot-standard drafting.,NO
Матрикснет (Matrixnet),MatrixNet,APPROVED_RENAME,search engines and indexing,LOW,EXPERT,YES,verified_primary_framing,matrixnet,,MatrixNet,"Матрикснет, Matrixnet","алгоритм машинного обучения Яндекса, формула ранжирования, предшественник CatBoost",Historical Yandex ML ranking; expert verify current relevance. | Approved as historical Yandex ML ranking system name.,NO
Мета-тег Keywords,Метатеги,MERGED,technical SEO,LOW,SIMPLE,NO,not_required,,Метатеги,keywords-тег,мета-тег Keywords,"список ключевых слов страницы, устаревший фактор ранжирования, метаданные страницы","Obsolete ranking signal; mention historically under Метатеги, do not keep separate page.",NO
Метатеги,Метатеги,APPROVED,technical SEO,MEDIUM,MODERATE,NO,standard,метатеги,,мета-данные,"метатеги, meta-теги","title и description, мета-данные страницы, сниппет в выдаче",Default KEEP pending pilot-standard drafting.,YES
Микроразметка (Schema.org),Микроразметка,APPROVED_RENAME,technical SEO,HIGH,MODERATE,NO,standard,микроразметка,,структурированная разметка,"микроразметка, Schema.org","структурированные данные, расширенный сниппет, разметка для роботов",Schema.org as primary vocabulary synonym.,NO
Минусинск (алгоритм),Минусинск,APPROVED_RENAME,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,минусинск,,фильтр Минусинск,алгоритм Минусинск,"санкции за покупные ссылки, фильтр Яндекса, снижение позиций",Yandex link spam algorithm — verify status. | Approved as Yandex link-spam algorithm; historical/status caution.,NO
Мобильная версия сайта,Мобильная версия сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,мобильная-версия-сайта,,мобильная версия,мобильная версия сайта,"адаптивная вёрстка, mobile-first индексация, удобство на смартфоне",Default KEEP pending pilot-standard drafting.,NO
Морда,Морда,APPROVED,SEO fundamentals,LOW,MODERATE,NO,standard,морда,,главная страница,морда сайта (жаргон),"главная страница, ссылки с морды, вес главной страницы",Default KEEP pending pilot-standard drafting.,NO
Морфологическое вхождение,Морфологическое вхождение,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,морфологическое-вхождение,,словоформенное вхождение,морфологическое вхождение ключевого слова,"словоформы, склонение ключевого запроса, естественность текста",Default KEEP pending pilot-standard drafting.,NO
Мультиязычность сайта,Мультиязычность сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,мультиязычность-сайта,,многоязычный сайт,мультиязычный сайт,"hreflang, локализация контента, версии сайта на разных языках",Default KEEP pending pilot-standard drafting.,NO
Навигационный интент,Навигационный интент,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,навигационный-интент,,навигационное намерение,навигационный интент,"поиск конкретного ресурса, переход на известный сайт, брендовый поиск",Default KEEP pending pilot-standard drafting.,NO
Небрендовый трафик,Небрендовый трафик,APPROVED,digital marketing,MEDIUM,MODERATE,NO,standard,небрендовый-трафик,,категорийный трафик,небрендовый трафик,"общие запросы без названия бренда, привлечение новой аудитории",Default KEEP pending pilot-standard drafting.,NO
Неестественная ссылка,Ссылочный спам,MERGED,link building,LOW,MODERATE,NO,not_required,,Ссылочный спам,искусственная ссылка,неестественная ссылка,"покупная ссылка, санкции поисковика, ссылочный спам",Overlaps strongly with ссылочный спам / unnatural links.,NO
Обмен ссылками между проектами Исполнителя,Обмен ссылками между проектами Исполнителя,EXCLUDED,link building,LOW,SIMPLE,YES,not_required,,,внутренний ссылочный обмен,обмен ссылками между проектами,"пул рабочих ссылок, размещение блоков ссылок, ссылки между сайтами одного агентства","Contractual/operational practice, not a public glossary term.",NO
Обмен тематически близкими ссылками,Обмен тематически близкими ссылками,EXCLUDED,link building,LOW,SIMPLE,NO,not_required,,,партнёрский обмен ссылками,обмен тематическими ссылками,"взаимные ссылки с авторитетными сайтами, раздел «Наши партнёры», ссылки для поисковых роботов",Service/process phrase; not a standalone concept (cover under естественные/неестественные ссылки if needed).,NO
Обратная ссылка (backlink),Обратная ссылка,APPROVED_RENAME,link building,HIGH,SIMPLE,NO,standard,обратная-ссылка,,входящая ссылка,"обратная ссылка, backlink","ссылочная масса, донор и акцептор, вес страницы",RU canonical; backlink synonym.,YES
Оптимизация под голосовой поиск,Оптимизация под голосовой поиск,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,оптимизация-под-голосовой-поиск,,voice search SEO,"голосовой поиск, оптимизация под голосовые запросы","разговорные фразы, featured snippet, мобильные ассистенты",Default KEEP pending pilot-standard drafting.,NO
Органическая выдача,Органическая выдача,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,органическая-выдача,,органика,органическая выдача,"бесплатные результаты поиска, естественные позиции, отличие от рекламы",Default KEEP pending pilot-standard drafting.,NO
Органический трафик,Органический трафик,APPROVED,analytics and metrics,HIGH,SIMPLE,NO,standard,органический-трафик,,естественный трафик,органический трафик,"бесплатные переходы из поиска, естественная выдача, SEO-трафик",Distinct analytics concept from SERP/organic results.,YES
Отдел антиспама,Отдел антиспама,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,отдел-антиспама,,антиспам-служба,отдел антиспама,"борьба с накруткой в поисковике, ручные санкции, модерация выдачи",Default KEEP pending pilot-standard drafting.,NO
Отказы (показатель отказов),Показатель отказов,APPROVED_RENAME,analytics and metrics,HIGH,MODERATE,YES,verified_primary_framing,показатель-отказов,,bounce rate,показатель отказов,"bounce rate, короткая сессия, некачественный трафик",Bounce rate / Metrika refusal metrics differ — expert note required. | Approved; Metrika vs bounce distinction required.,YES
Пагинация,Пагинация,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,пагинация,,постраничная навигация,пагинация страниц,"разбивка контента на страницы, rel=next/prev, листалка каталога",Default KEEP pending pilot-standard drafting.,NO
Панда (алгоритм),Google Panda,APPROVED_RENAME,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,google-panda,,фильтр Panda,алгоритм Панда,"качество контента, санкции Google, неуникальный текст",Historical Google quality update; note absorption into core updates. | Approved as historical Google update absorbed into core.,NO
Панель вебмастера,Панель вебмастера,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,панель-вебмастера,,webmaster tools,панель вебмастера,"сервис для владельцев сайтов, мониторинг индексации, отчёты об ошибках сайта",Default KEEP pending pilot-standard drafting.,NO
Переспам ключевыми словами,Заспамленность текста,MERGED,content and semantics,LOW,SIMPLE,NO,not_required,,Заспамленность текста,keyword stuffing,"переспам, тошнота текста","избыточная плотность ключей, неестественность текста, санкции за спам",Same concept as заспамленность / keyword stuffing.,NO
Пингвин (алгоритм),Google Penguin,APPROVED_RENAME,search engines and indexing,MEDIUM,MODERATE,YES,verified_primary_framing,google-penguin,,фильтр Penguin,алгоритм Пингвин,"ссылочный спам, санкции Google, неестественные ссылки",Historical link spam update; note real-time incorporation. | Approved as historical Google link-spam update.,NO
Плотность ключевых слов,Плотность ключевых слов,APPROVED,content and semantics,MEDIUM,MODERATE,NO,standard,плотность-ключевых-слов,,keyword density,плотность ключевых слов,"частота употребления запроса, keyword density, естественность текста",Default KEEP pending pilot-standard drafting.,NO
Поведенческие факторы,Поведенческие факторы,APPROVED,SEO fundamentals,HIGH,EXPERT,YES,verified_primary_framing,поведенческие-факторы,,ПФ,поведенческие факторы ранжирования,"время на сайте, глубина просмотра, CTR в выдаче",Yandex-centric concept; avoid inventing Google parity claims. | Approved with Yandex-centric caution; no invented formulas.,NO
Подсветка в выдаче,Подсветка в выдаче,APPROVED,search engines and indexing,MEDIUM,MODERATE,NO,standard,подсветка-в-выдаче,,выделение в сниппете,подсветка ключевых слов в выдаче,"жирный шрифт в сниппете, совпадение с запросом, визуальное выделение релевантности",Default KEEP pending pilot-standard drafting.,NO
Позиции сайта,Позиции сайта,APPROVED,SEO fundamentals,MEDIUM,MODERATE,NO,standard,позиции-сайта,,ранжирование сайта,позиции сайта в поиске,"место в выдаче, топ-10, мониторинг позиций",Default KEEP pending pilot-standard drafting.,NO
