source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
UTM-метки,UTM-метки,2677,utm-metki,analytics and metrics,MODERATE,"UTM-метки — параметры в URL, передающие в систему аналитики сведения об источнике перехода и кампании. Они позволяют различать трафик из рассылок, рекламы, партнёрских публикаций и других каналов.",content/glossary/batch-02/utm-метки.md,UTM-параметры,Google Analytics; Event tracking; Сквозная аналитика,UTM-метки: что это и как использовать,"Что такое UTM-метки, какие параметры используют для аналитики кампаний и почему важны единые правила именования.",Методика веб-аналитики; набор параметров и их обработка зависят от используемой системы.,applied
Google Analytics,Google Analytics,2646,google-analytics,analytics and metrics,MODERATE,"Google Analytics — платформа веб-аналитики Google для анализа посещений, источников трафика, действий пользователей и конверсий. В текущей продуктовой линейке Google Analytics используется модель GA4.",content/glossary/batch-02/google-analytics.md,GA,UTM-метки; Event tracking; Конверсия,Google Analytics: что это и для чего нужен,"Что измеряет Google Analytics, как в нём используют события и почему данные зависят от настройки аналитики.",Описание роли продукта; методика сбора и доступность данных зависят от настроек ресурса.,applied
Визит / Сессия,Сессия,2467,sessiya,analytics and metrics,SIMPLE,"Сессия — период взаимодействия пользователя с сайтом, который система аналитики объединяет по своим правилам. В разных сервисах для близкого понятия могут использовать слова «сессия» или «визит».",content/glossary/batch-02/сессия.md,сессия,Яндекс.Метрика; Google Analytics; Конверсия,Сессия: что это в веб-аналитике,Что называют сессией или визитом в аналитике и почему количество сессий не равно числу уникальных пользователей.,Терминология и правила расчёта зависят от системы веб-аналитики.,applied
Event tracking,Event tracking,2638,event-tracking,analytics and metrics,MODERATE,"Event tracking — отслеживание событий на сайте: кликов, отправок форм, скачиваний, прокруток и других действий. События превращают важные взаимодействия в данные для аналитики.",content/glossary/batch-02/event-tracking.md,трекинг событий,Google Analytics; Конверсия; UTM-метки,Event tracking: что такое отслеживание событий,"Как работает event tracking, какие действия фиксируют как события и чем событие отличается от конверсии.",Методика аналитики; набор и правила событий определяются задачами сайта.,applied
Сквозная аналитика,Сквозная аналитика,2572,skvoznaya-analitika,analytics and metrics,MODERATE,"Сквозная аналитика — подход к объединению данных о расходах, обращениях, продажах и выручке по пути клиента. Она помогает смотреть на маркетинг не только до заявки, но и до финансового результата.",content/glossary/batch-02/сквозная-аналитика.md,end-to-end аналитика,ROMI; UTM-метки; Воронка продаж; LTV,Сквозная аналитика: что это и зачем нужна,"Что объединяет сквозная аналитика, какие данные связывает с CRM и почему важны правила атрибуции.",Методический подход; состав интеграций и правила атрибуции зависят от инфраструктуры компании.,applied
Контент-маркетинг,Контент-маркетинг,2510,kontent-marketing,content and semantics,MODERATE,"Контент-маркетинг — системная работа с полезными материалами, которые отвечают на вопросы аудитории и поддерживают её путь к выбору. В него входят стратегия тем, форматы, производство, распространение и оценка результата.",content/glossary/batch-02/контент-маркетинг.md,контентная стратегия,Семантическое ядро; Поисковый интент; Органический трафик,Контент-маркетинг: что это и как связан с SEO,"Что входит в контент-маркетинг, как темы соотносятся с потребностями аудитории и поисковым спросом.","Методическое определение; результат зависит от качества материалов, дистрибуции и спроса.",applied
Частотность запроса,Частотность запроса,2611,chastotnost-zaprosa,content and semantics,MODERATE,"Частотность запроса — оценка того, как часто пользователи ищут определённую формулировку за выбранный период. Она помогает оценить спрос, но не равна гарантированному трафику на страницу.",content/glossary/batch-02/частотность-запроса.md,частота запроса,Семантическое ядро; Длинный хвост; Поисковый интент,Частотность запроса: что это в SEO,"Что показывает частотность поискового запроса, почему она не равна трафику и как использовать её при сборе семантики.","Методический показатель; данные зависят от сервиса, региона, периода и типа соответствия.",applied
Кластеризация запросов,Кластеризация запросов,2503,klasterizacziya-zaprosov,content and semantics,MODERATE,Кластеризация запросов — группировка поисковых фраз по близкому намерению и предполагаемой странице ответа. Она помогает построить структуру сайта и не создавать отдельную страницу под каждую формулировку.,content/glossary/batch-02/кластеризация-запросов.md,группировка ключей,Семантическое ядро; Поисковый интент; Каннибализация запросов,Кластеризация запросов: что это и зачем нужна,"Как кластеризация группирует запросы по интенту и выдаче, помогая планировать страницы и структуру сайта.",Методический процесс; критерии группировки зависят от тематики и цели сайта.,applied
LSI,LSI,2656,lsi,content and semantics,MODERATE,"LSI — отраслевой термин, которым в SEO часто называют слова и темы, связанные с основной темой страницы. Его не следует трактовать как подтверждённый Google список «LSI-слов» или готовую формулу ранжирования.",content/glossary/batch-02/lsi.md,latent semantic indexing,Семантическое ядро; Поисковый интент; Контент-маркетинг,LSI: что означает термин в SEO,Что обычно понимают под LSI в SEO и почему это не подтверждённый список факторов ранжирования Google.,Отраслевое методическое употребление; не заявляется как Google-подтверждённый факторный список.,applied
Длинный хвост (long tail),Длинный хвост,2482,dlinnyj-hvost,content and semantics,SIMPLE,"Длинный хвост — совокупность узких, детализированных поисковых запросов с небольшим спросом по каждой отдельной фразе. Вместе такие запросы могут давать заметный целевой трафик.",content/glossary/batch-02/длинный-хвост.md,длиннохвостые запросы,Частотность запроса; Семантическое ядро; Поисковый интент,Длинный хвост: что это в SEO,"Что называют длинным хвостом запросов, почему узкие формулировки важны для семантики и как не создавать лишние страницы.",Методическое определение; ценность запросов зависит от спроса и соответствия странице.,applied
Запрос информационный,Информационный запрос,2489,informaczionnyj-zapros,content and semantics,SIMPLE,"Информационный запрос — поисковая формулировка, с которой пользователь хочет получить объяснение, инструкцию, определение или ответ на вопрос. Для него обычно важнее содержание, чем немедленная покупка.",content/glossary/batch-02/информационный-запрос.md,инфозапрос,Поисковый интент; Контент-маркетинг; Коммерческий запрос,Информационный запрос: что это и как распознать,"Что такое информационный запрос, какие страницы ему соответствуют и почему интент проверяют по выдаче.",Классификация интентов методическая; запросы могут иметь смешанное намерение.,applied
Запрос коммерческий,Коммерческий запрос,2490,kommercheskij-zapros,content and semantics,SIMPLE,"Коммерческий запрос — поисковая формулировка, в которой заметен интерес к товару, услуге, цене, условиям или выбору поставщика. Она часто отражает подготовку к покупке, но не всегда означает готовность оформить заказ сразу.",content/glossary/batch-02/коммерческий-запрос.md,транзакционный запрос,Поисковый интент; Посадочная страница; Информационный запрос,Коммерческий запрос: что это в SEO,"Что называют коммерческим запросом, какие признаки указывают на интерес к покупке и как выбрать формат страницы.",Классификация интентов методическая; готовность к покупке определяется не одной фразой.,applied
Запрос навигационный,Навигационный запрос,2491,navigaczionnyj-zapros,content and semantics,SIMPLE,"Навигационный запрос — формулировка, с которой пользователь ищет конкретный сайт, бренд, сервис или его раздел. Главная задача поиска в этом случае — быстро попасть в нужное место.",content/glossary/batch-02/навигационный-запрос.md,навигационная выдача,Поисковый интент; Поисковая выдача; Посадочная страница,Навигационный запрос: что это такое,"Что означает навигационный запрос, как его отличить от коммерческого и почему пользователь ищет конкретный ресурс.",Классификация интентов методическая; брендовые запросы могут иметь дополнительный информационный или коммерческий контекст.,applied
Ключевое слово,Ключевое слово,2506,klyuchevoe-slovo,content and semantics,SIMPLE,"Ключевое слово — слово или поисковая фраза, связанная с темой страницы и запросом пользователя. В SEO чаще говорят о ключевых запросах, потому что люди обычно ищут не отдельными словами, а сочетаниями.",content/glossary/batch-02/ключевое-слово.md,ключевик,Семантическое ядро; Частотность запроса; Поисковый интент,Ключевое слово: что это в SEO,"Что называют ключевым словом или запросом, как используют ключевые фразы в семантике и почему важен интент.",Методическое определение; совпадение ключевых слов не гарантирует релевантность или позиции.,applied
Каннибализация запросов,Каннибализация запросов,2499,kannibalizacziya-zaprosov,content and semantics,MODERATE,"Каннибализация запросов — ситуация, когда несколько страниц одного сайта конкурируют за одну и ту же группу запросов и пользовательскую задачу. Поисковой системе становится сложнее выбрать наиболее подходящий URL.",content/glossary/batch-02/каннибализация-запросов.md,внутренняя конкуренция страниц,Кластеризация запросов; Канонический URL; Внутренняя перелинковка,Каннибализация запросов: что это и как выявить,"Почему страницы сайта конкурируют за одинаковые запросы, как отличить проблему от нормальной релевантности и что проверять.","Методическая диагностика; решение выбирают после анализа интента, URL и пользовательского сценария.",applied
404 ошибка,Ошибка 404,2681,oshibka-404,technical SEO,SIMPLE,"Ошибка 404 — HTTP-статус, означающий, что сервер не нашёл запрошенный ресурс по указанному URL. Она возникает при удалённых страницах, неверных адресах и битых ссылках.",content/glossary/batch-02/ошибка-404.md,page not found,HTTP-код ответа; Редирект; Дубли страниц,Ошибка 404: что означает и как обрабатывать,"Что означает HTTP-ошибка 404, чем корректная страница не найдена отличается от ответа 200 и когда нужен редирект.",Опирается на семантику HTTP; выбор редиректа зависит от соответствия старой и новой страниц.,applied
Микроразметка (Schema.org),Микроразметка,2523,mikrorazmetka,technical SEO,MODERATE,"Микроразметка — структурированные данные в коде страницы, которые помогают поисковым системам понять тип и свойства объекта: товара, организации, статьи, события и других сущностей. В вебе для этого часто используют словарь Schema.org.",content/glossary/batch-02/микроразметка.md,структурированная разметка,Сниппет; Метатеги; Техническая оптимизация,Микроразметка: что это и как работает Schema.org,"Что такое микроразметка и структурированные данные Schema.org, как они связаны с расширенными результатами поиска.","Проверено: structured data может давать право на расширенный результат, но не гарантирует его показ.",applied
Заголовки H1–H6,Заголовки H1–H6,2488,zagolovki-h1-h6,technical SEO,SIMPLE,"Заголовки H1–H6 — HTML-элементы, задающие иерархию содержания страницы. Они помогают пользователю быстро понять структуру текста и поддерживают семантику документа.",content/glossary/batch-02/заголовки-h1-h6.md,теги заголовков,Метатеги; Поисковый интент; Контент-маркетинг,Заголовки H1–H6: что это и как использовать,Как HTML-заголовки H1–H6 формируют структуру страницы и почему их уровни выбирают по смысловой иерархии.,Опирается на семантику HTML; не заявляется как самостоятельный фактор ранжирования.,applied
Alt-атрибут,Alt-текст,2620,alt-tekst,technical SEO,SIMPLE,"Alt-текст — альтернативное текстовое описание изображения в HTML-атрибуте alt. Он нужен, когда картинка не загрузилась, и помогает пользователям со скринридерами понять её содержание.",content/glossary/batch-02/alt-текст.md,alt-текст,Доступность; Техническая оптимизация; Ключевое слово,Alt-текст: что это и зачем нужен,"Что такое alt-текст изображения, как он помогает доступности и почему не стоит заполнять его ключевыми словами.",Опирается на HTML и практики доступности; не заявляется как самостоятельная гарантия SEO-результата.,applied
ЧПУ (человекопонятный URL),ЧПУ,2613,chpu,technical SEO,SIMPLE,"ЧПУ — человекопонятный URL, то есть читаемый адрес страницы с понятной структурой и словами, отражающими её тему. Такой адрес помогает пользователю ориентироваться в ссылке и поддерживает предсказуемую архитектуру сайта.",content/glossary/batch-02/чпу.md,SEO-friendly URL,Редирект; Дубли страниц; Техническая оптимизация,ЧПУ: что такое человекопонятный URL,"Что называют ЧПУ, как читаемый URL помогает навигации и почему смена адресов требует проверки редиректов.",Методическое описание URL-архитектуры; ключевые слова в адресе не объявляются гарантией ранжирования.,applied
HTTP-код ответа,HTTP-код ответа,2649,http-kod-otveta,technical SEO,MODERATE,"HTTP-код ответа — трёхзначный статус, которым сервер сообщает результат обработки запроса браузеру, роботу или другому клиенту. По коду можно понять, найдена ли страница, требуется ли перенаправление или произошла ошибка.",content/glossary/batch-02/http-код-ответа.md,код ответа сервера,Ошибка 404; Редирект; Техническая оптимизация,HTTP-код ответа: что это и какие бывают,"Что означает HTTP-код ответа, чем различаются группы 2xx, 3xx, 4xx и 5xx и почему статусы важны для сайта.",Опирается на семантику HTTP; конкретная настройка зависит от задачи URL.,applied
Mobile-first indexing,Mobile-first indexing,2660,mobile-first-indexing,technical SEO,MODERATE,"Mobile-first indexing — подход Google Search, при котором для индексации и ранжирования Google преимущественно использует мобильную версию содержания сайта. Поэтому мобильный вариант должен содержать важную информацию и быть доступным для обхода.",content/glossary/batch-02/mobile-first-indexing.md,мобильная индексация,Индексация; Техническая оптимизация; Core Web Vitals,Mobile-first indexing: что это в Google Search,Как Google использует мобильную версию сайта для индексации и почему важно сохранять на ней основной контент.,Проверено по фреймингу Google Search; не заявляется как отдельная формула ранжирования.,applied
Хлебные крошки,Хлебные крошки,2606,hlebnye-kroshki,technical SEO,SIMPLE,"Хлебные крошки — навигационная цепочка, показывающая путь от главного раздела к текущей странице. Она помогает посетителю понять место страницы в структуре сайта и перейти на уровень выше.",content/glossary/batch-02/хлебные-крошки.md,breadcrumbs,Посадочная страница; Внутренняя перелинковка; Микроразметка,Хлебные крошки: что это и зачем нужны,"Что такое хлебные крошки, как навигационная цепочка помогает пользователю и как связана со структурой сайта.",Общее определение UX-навигации; эффект на поисковую видимость не гарантируется.,applied
CMS (система управления сайтом),CMS,2626,cms,website development,SIMPLE,"CMS — система управления контентом, через которую создают, редактируют и публикуют страницы сайта без прямой правки каждого HTML-файла. Она может включать шаблоны, роли пользователей, медиафайлы и расширения.",content/glossary/batch-02/cms.md,система управления контентом,Техническая оптимизация; ЧПУ; Метатеги,CMS: что такое система управления сайтом,"Что означает CMS, какие задачи решает система управления контентом и почему сама платформа не гарантирует SEO-результат.",Общее определение; возможности CMS зависят от конкретной реализации и конфигурации.,applied
Яндекс.Вебмастер,Яндекс.Вебмастер,2616,yandeks-vebmaster,search engines and indexing,MODERATE,"Яндекс.Вебмастер — сервис Яндекса для владельцев сайтов, где можно отслеживать обработку ресурса поиском, статус страниц, ошибки и отдельные поисковые данные. Он помогает диагностировать сайт, но не позволяет вручную назначать позиции.",content/glossary/batch-02/яндекс.вебмастер.md,сервис для вебмастеров Яндекса,Индексация; Поисковый робот; Карта сайта,Яндекс.Вебмастер: что это и для чего нужен,"Что показывает Яндекс.Вебмастер, какие задачи помогает решать владельцу сайта и чего сервис не позволяет делать.",Описание роли продукта; интерфейс и набор отчётов могут меняться.,applied
Краулер (поисковый робот),Поисковый робот,2513,poiskovyj-robot,search engines and indexing,SIMPLE,"Поисковый робот — программа поисковой системы, которая обходит доступные URL, получает их содержимое и передаёт данные для дальнейшей обработки. Его также называют краулером, ботом или пауком.",content/glossary/batch-02/поисковый-робот.md,"паук, бот поисковика",Краулинг; Индексация; robots.txt,Поисковый робот: что это и как работает,"Что такое поисковый робот, как он находит страницы и почему обход сайта не означает автоматическую индексацию.",Общее описание процесса; частота обхода и критерии обработки конкретных URL не прогнозируются.,applied
Google Ads,Google Ads,2644,google-ads,contextual advertising,MODERATE,"Google Ads — рекламная платформа Google для размещения кампаний в доступных форматах, включая поиск, медийные сети, видео и товарные объявления. Рекламодатель управляет целями, бюджетом, аудиториями и настройками показа в рамках возможностей продукта.",content/glossary/batch-02/google-ads.md,Google AdWords,Поисковая контекстная реклама; CPC; Конверсия,Google Ads: что это и как используется,"Что такое Google Ads, для каких рекламных кампаний используют платформу и какие показатели оценивают вместе с кликами.",Описание роли продукта; механика аукциона и условия показа не упрощаются до неподтверждённых правил.,applied
Яндекс Директ,Яндекс Директ,2617,yandeks-direkt,contextual advertising,MODERATE,"Яндекс Директ — рекламная платформа Яндекса для запуска кампаний в поиске и других доступных рекламных форматах. Через неё задают цели, бюджеты, аудитории, объявления и параметры показа.",content/glossary/batch-02/яндекс-директ.md,Директ,Поисковая контекстная реклама; CPC; UTM-метки,Яндекс Директ: что это и как используется,"Что такое Яндекс Директ, чем платное размещение отличается от органической выдачи и какие метрики помогают оценить кампанию.",Описание роли продукта; не заявляются непубличные или упрощённые правила аукциона.,applied
Поисковая контекстная реклама,Поисковая контекстная реклама,2550,poiskovaya-kontekstnaya-reklama,contextual advertising,MODERATE,"Поисковая контекстная реклама — платное размещение объявлений, которое может показываться пользователю в связи с его поисковым запросом. Она привлекает трафик быстрее органического продвижения, но требует бюджета и настройки кампаний.",content/glossary/batch-02/поисковая-контекстная-реклама.md,контекстная реклама в поиске,Яндекс Директ; Google Ads; CPC; Конверсия,Поисковая контекстная реклама: что это,"Как работает поисковая контекстная реклама, какие показатели используют для оценки и чем она отличается от SEO.",Общее описание рекламной модели; условия показа и оплаты зависят от платформы.,applied
Аудит сайта (SEO-аудит),SEO-аудит,2452,seo-audit,SEO fundamentals,MODERATE,"SEO-аудит — системная проверка сайта, которая выявляет технические, структурные, контентные и аналитические проблемы, способные мешать поисковой видимости и удобству пользователей. Результатом должен быть приоритизированный список находок и действий, а не только перечень ошибок.",content/glossary/batch-02/seo-аудит.md,SEO-анализ,Техническая оптимизация; Внутренняя оптимизация; Индексация,SEO-аудит: что это и что проверяют,"Что включает SEO-аудит сайта, как приоритизировать найденные проблемы и почему аудит не обещает позиции.",Методическая проверка; состав работ и эффект исправлений зависят от сайта и поисковой среды.,applied
Внутренняя оптимизация,Внутренняя оптимизация,2469,vnutrennyaya-optimizacziya,SEO fundamentals,MODERATE,"Внутренняя оптимизация — работа с элементами самого сайта: содержанием страниц, структурой, метаданными, URL, внутренними ссылками и технической доступностью. Её цель — сделать сайт понятнее пользователям и поисковым системам.",content/glossary/batch-02/внутренняя-оптимизация.md,on-page оптимизация,Техническая оптимизация; Внутренняя перелинковка; Семантическое ядро,Внутренняя оптимизация: что это в SEO,"Что входит во внутреннюю оптимизацию сайта, какие элементы она затрагивает и почему она не сводится к ключевым словам.",Методическое определение; влияние отдельных работ на позиции не гарантируется.,applied
Внешняя оптимизация,Внешняя оптимизация,2468,vneshnyaya-optimizacziya,SEO fundamentals,MODERATE,"Внешняя оптимизация — работа с внешними упоминаниями и ссылками на сайт, его репутацией и присутствием на релевантных площадках. Она дополняет качество самого сайта, но не заменяет его.",content/glossary/batch-02/внешняя-оптимизация.md,off-page оптимизация,Обратная ссылка; Ссылочный профиль; Nofollow,Внешняя оптимизация: что это в SEO,"Что относят к внешней оптимизации, почему важны релевантные упоминания и почему количество ссылок не является единственным критерием.",Методическое определение; формулы внешних сигналов и влияние отдельной ссылки не предсказываются.,applied
Внутренняя перелинковка,Внутренняя перелинковка,2470,vnutrennyaya-perelinkovka,SEO fundamentals,MODERATE,Внутренняя перелинковка — система ссылок между страницами одного сайта. Она помогает пользователю переходить к связанным материалам и поисковым роботам обнаруживать важные URL.,content/glossary/batch-02/внутренняя-перелинковка.md,перелинковка,Хлебные крошки; Каннибализация запросов; Краулинг,Внутренняя перелинковка: что это и зачем нужна,"Как внутренние ссылки помогают пользователям и роботам находить страницы, какие анкоры использовать и что проверять.",Методическое определение; эффект отдельной ссылки на ранжирование не гарантируется.,applied
Ранжирование,Ранжирование,2561,ranzhirovanie,SEO fundamentals,MODERATE,"Ранжирование — процесс упорядочивания результатов поисковой системы по конкретному запросу. Поисковик сопоставляет запрос, содержание страниц, контекст пользователя и множество других сигналов, чтобы показать наиболее полезные результаты.",content/glossary/batch-02/ранжирование.md,рейтингование,Индексация; Поисковая выдача; Поведенческие факторы,Ранжирование: что это в поисковых системах,"Что означает ранжирование, чем оно отличается от индексации и почему позиция зависит от запроса и условий поиска.",Общее описание; конкретные формулы и веса сигналов поисковые системы полностью не раскрывают.,applied
Поведенческие факторы,Поведенческие факторы,2546,povedencheskie-faktory,SEO fundamentals,COMPLEX,"Поведенческие факторы — отраслевое обозначение сигналов, связанных с действиями пользователей в поиске и на сайте: выбором результата, возвращением к выдаче, взаимодействием со страницами и другими наблюдаемыми паттернами. В SEO-практике термин часто используют широко, но поисковые системы не публикуют полный перечень сигналов и их веса.",content/glossary/batch-02/поведенческие-факторы.md,ПФ,UX и UI; Конверсия; Ранжирование; Показатель отказов; Event tracking,Поведенческие факторы: что это в SEO,"Что в SEO называют поведенческими факторами, как отделять аналитику сайта от непубличных сигналов поиска и почему нельзя заявлять известные веса.",Проверено как отраслевое понятие: полная формула и веса сигналов поисковых систем не публикуются; не заявляется паритет Яндекса и Google.,applied
