term,keywords,lsi_phrases,synonyms
Матрикснет (Matrixnet),"Матрикснет, Matrixnet","алгоритм машинного обучения Яндекса, формула ранжирования, предшественник CatBoost",MatrixNet
Мета-тег Keywords,мета-тег Keywords,"список ключевых слов страницы, устаревший фактор ранжирования, метаданные страницы",keywords-тег
Метатеги,"метатеги, meta-теги","title и description, мета-данные страницы, сниппет в выдаче",мета-данные
Микроразметка (Schema.org),"микроразметка, Schema.org","структурированные данные, расширенный сниппет, разметка для роботов",структурированная разметка
Минусинск (алгоритм),алгоритм Минусинск,"санкции за покупные ссылки, фильтр Яндекса, снижение позиций",фильтр Минусинск
Мобильная версия сайта,мобильная версия сайта,"адаптивная вёрстка, mobile-first индексация, удобство на смартфоне",мобильная версия
Морда,морда сайта (жаргон),"главная страница, ссылки с морды, вес главной страницы",главная страница
Морфологическое вхождение,морфологическое вхождение ключевого слова,"словоформы, склонение ключевого запроса, естественность текста",словоформенное вхождение
Мультиязычность сайта,мультиязычный сайт,"hreflang, локализация контента, версии сайта на разных языках",многоязычный сайт
Навигационный интент,навигационный интент,"поиск конкретного ресурса, переход на известный сайт, брендовый поиск",навигационное намерение
Небрендовый трафик,небрендовый трафик,"общие запросы без названия бренда, привлечение новой аудитории",категорийный трафик
Неестественная ссылка,неестественная ссылка,"покупная ссылка, санкции поисковика, ссылочный спам",искусственная ссылка
Обмен ссылками между проектами Исполнителя,обмен ссылками между проектами,"пул рабочих ссылок, размещение блоков ссылок, ссылки между сайтами одного агентства",внутренний ссылочный обмен
Обмен тематически близкими ссылками,обмен тематическими ссылками,"взаимные ссылки с авторитетными сайтами, раздел «Наши партнёры», ссылки для поисковых роботов",партнёрский обмен ссылками
Обратная ссылка (backlink),"обратная ссылка, backlink","ссылочная масса, донор и акцептор, вес страницы",входящая ссылка
Оптимизация под голосовой поиск,"голосовой поиск, оптимизация под голосовые запросы","разговорные фразы, featured snippet, мобильные ассистенты",voice search SEO
Органическая выдача,органическая выдача,"бесплатные результаты поиска, естественные позиции, отличие от рекламы",органика
Органический трафик,органический трафик,"бесплатные переходы из поиска, естественная выдача, SEO-трафик",естественный трафик
Отдел антиспама,отдел антиспама,"борьба с накруткой в поисковике, ручные санкции, модерация выдачи",антиспам-служба
Отказы (показатель отказов),показатель отказов,"bounce rate, короткая сессия, некачественный трафик",bounce rate
Пагинация,пагинация страниц,"разбивка контента на страницы, rel=next/prev, листалка каталога",постраничная навигация
Панда (алгоритм),алгоритм Панда,"качество контента, санкции Google, неуникальный текст",фильтр Panda
Панель вебмастера,панель вебмастера,"сервис для владельцев сайтов, мониторинг индексации, отчёты об ошибках сайта",webmaster tools
Переспам ключевыми словами,"переспам, тошнота текста","избыточная плотность ключей, неестественность текста, санкции за спам",keyword stuffing
Пингвин (алгоритм),алгоритм Пингвин,"ссылочный спам, санкции Google, неестественные ссылки",фильтр Penguin
Плотность ключевых слов,плотность ключевых слов,"частота употребления запроса, keyword density, естественность текста",keyword density
Поведенческие факторы,поведенческие факторы ранжирования,"время на сайте, глубина просмотра, CTR в выдаче",ПФ
Подсветка в выдаче,подсветка ключевых слов в выдаче,"жирный шрифт в сниппете, совпадение с запросом, визуальное выделение релевантности",выделение в сниппете
Позиции сайта,позиции сайта в поиске,"место в выдаче, топ-10, мониторинг позиций",ранжирование сайта
Поисковая выдача (SERP),"поисковая выдача, SERP","результаты поиска, топ выдачи, сниппет",SERP
Поисковая контекстная реклама,контекстная реклама,"реклама по запросу, Яндекс.Директ, Google Ads",контекстная реклама в поиске
Поисковая оптимизация,поисковая оптимизация сайта,"работа с алгоритмами поиска, повышение позиций, органический рост",SEO-оптимизация
Поисковый запрос,поисковый запрос пользователя,"формулировка в строке поиска, ключевая фраза, намерение пользователя",запрос пользователя
Поисковый спам,поисковый спам,"обман поисковых систем, приёмы только для роботов, санкции за спам",спам в выдаче
Посетитель,посетитель сайта,"пользователь, зашедший на сайт, аудитория ресурса, статистика визитов",пользователь сайта
Пост-фильтры,пост-фильтры,"понижение позиций после проверки, санкции, применяемые после ранжирования, ручная модерация выдачи",постфильтрация
ПРЕСЕО,"pre-SEO, ПРЕСЕО","подготовка сайта до продвижения, аудит перед запуском, стратегия перед оптимизацией",предварительный SEO-этап
Продвижение сайта,продвижение сайта,"SEO-продвижение, вывод в топ, комплексная оптимизация",раскрутка сайта
Процент вхождений,процент вхождений ключевого слова,"доля упоминаний запроса в тексте, соотношение к объёму текста, показатель для анализа",доля вхождений
Прямые заходы,"прямые заходы, direct traffic","переход по закладке, ввод адреса вручную, брендовая узнаваемость",direct traffic
Разбавленное вхождение,разбавленное вхождение ключевого слова,"слова между частями запроса, естественность формулировки, читаемость текста",неточное вхождение
Ранжирование,ранжирование сайтов,"алгоритм поисковика, факторы ранжирования, место в выдаче",рейтингование
Редирект,редирект,"перенаправление пользователя, смена адреса страницы, программное перенаправление",redirect
Редирект 301,"редирект 301, постоянное перенаправление","смена URL, передача веса страницы, склейка страниц",permanent redirect
Редирект 302,"редирект 302, временное перенаправление","временная смена адреса, тестирование страницы",temporary redirect
Релевантность страницы,релевантность страницы,"соответствие запросу, качество ответа, ранжирующий фактор",соответствие контента запросу
Реферальный трафик,реферальный трафик,"переходы с других сайтов, внешние ссылки, партнёрские сайты",referral traffic
Рунет,Рунет,"русскоязычный сегмент интернета, домены .ru, сайты на русском языке",русский интернет
Сателлит,сайт-сателлит,"вспомогательный сайт для продвижения основного, ссылочная поддержка, сеть сателлитов",сайт-спутник
СДЛ,"сайты для людей, СДЛ","полезный контент для пользователя, критерий качества Яндекса, противоположность SEO для роботов",сайты для людей
Семантическое ядро,семантическое ядро,"список ключевых запросов, сбор семантики, структура сайта",семантика сайта
Сервер,сервер,"хостинг сайта, постоянное подключение к интернету, серверное оборудование",веб-сервер
Сквозная аналитика,сквозная аналитика,"объединение данных из разных каналов, оценка ROI по всей воронке, CRM и рекламные системы",end-to-end аналитика
Сквозные ссылки,сквозные ссылки,"ссылки в футере, ссылки в сайдбаре, шаблонные ссылки",footer-ссылки
Скорость загрузки страницы,скорость загрузки сайта,"Core Web Vitals, время отклика сервера, оптимизация изображений",page speed
Скрипт,скрипт,"программа на языке сценариев, серверная логика, JavaScript и php-скрипты",script
Сниппет,сниппет в выдаче,"заголовок и описание в результатах поиска, расширенный сниппет, привлекательность ссылки",описание в выдаче
СНСС (ранее НПС),"СНСС, наличие покупных ссылок","алгоритм выявления накрутки ссылочной массы, санкции за покупные ссылки, преемник фильтра НПС",НПС
Социальные сигналы,социальные сигналы,"лайки и репосты, активность в соцсетях, влияние на ранжирование",соцсигналы
СПЕКТР,алгоритм СПЕКТР,"разнообразие выдачи по интентам, показ разных типов ответов на запрос, алгоритм Яндекса",алгоритм разнообразия выдачи
Ссылка,"гиперссылка, ссылка на сайте","переход между страницами, элемент навигации, вес ссылки",гиперссылка
Ссылочная масса,ссылочная масса,"количество и качество ссылок, вес сайта, ссылочный профиль",ссылочный вес
Ссылочный агрегатор,ссылочный агрегатор,"сервис сбора ссылочной массы конкурентов, база бэклинков, инструмент анализа ссылок",агрегатор бэклинков
Ссылочный взрыв,ссылочный взрыв,"резкий прирост ссылочной массы, риск санкций за неестественный рост, подозрительная динамика ссылок",линкующий взрыв
Ссылочный граф,ссылочный граф,"карта связей между сайтами, визуализация ссылочной массы, анализ ссылочного окружения",граф ссылок
Ссылочный профиль,ссылочный профиль,"анализ бэклинков, естественность ссылок, доноры сайта",профиль ссылок
Ссылочный спам,ссылочный спам,"некачественные ссылки, санкции за спам, дисавуал",спам-ссылки
Структура сайта,структура сайта,"иерархия разделов, логика навигации, вложенность страниц",архитектура сайта
Счетчик посещаемости,счётчик посещаемости,"подсчёт уникальных посетителей, статистика просмотров страниц, веб-аналитика",счётчик статистики
Тег description,мета-тег description,"описание страницы в сниппете, привлекательность в выдаче, длина description",мета-описание
Тег title,мета-тег title,"заголовок страницы в выдаче, ключевые слова в title, CTR сниппета",заголовок title
Текстовые факторы,текстовые факторы ранжирования,"вхождение ключевых слов, качество и объём текста, релевантность контента запросу",текстовое ранжирование
Техническая оптимизация,техническая оптимизация сайта,"скорость загрузки, индексируемость, корректная структура кода",техническое SEO
тИЦ,"тематический индекс цитирования, тИЦ","авторитетность сайта по ссылкам, показатель Яндекса (упразднён), качество ссылочного окружения",тематический индекс цитирования
Топ-10 / Топ-3,"топ-10, топ-3 выдачи","первая страница поиска, лидирующие позиции, конкуренция за топ",первая десятка выдачи
Точное вхождение,точное вхождение ключевого слова,"полное совпадение фразы, прямое соответствие запросу",прямое вхождение
Транзакционный интент,транзакционный интент,"намерение совершить действие, заказ, оплата, готовность к покупке",транзакционный запрос
Траст сайта,траст сайта,"доверие поисковика, возраст домена, качество ссылочной массы",доверие домена
Трафик,трафик сайта,"посетители сайта, источники переходов, объём аудитории",посещаемость
УВ,"уникальные посетители, УВ","подсчёт аудитории сайта, метрика охвата, количество новых визитов",уникальные визиты
Уникальность текста,уникальность текста,"антиплагиат, проверка на копипаст, авторский контент",оригинальность текста
Уникальный посетитель,уникальный посетитель,"первый визит с устройства, подсчёт аудитории, метрика охвата",unique visitor
Устранение дублей,устранение дублей страниц,"canonical, редирект, настройка robots.txt",склейка дублей
Файл robots.txt,robots.txt,"запрет индексации, инструкции для роботов, директива Disallow",файл индексных инструкций
Фактор ранжирования,фактор ранжирования,"критерий оценки страницы, влияние на позиции, вес фактора",ранжирующий фактор
Фильтр поисковой системы,"фильтр Google, фильтр Яндекса","санкции за нарушения, понижение в выдаче, ручные и алгоритмические санкции",санкции поисковика
Хлебные крошки,хлебные крошки,"навигационная цепочка, breadcrumbs, структура URL",breadcrumbs
Хостинг,хостинг сайта,"скорость сервера, надёжность хостинга, влияние на SEO",веб-хостинг
Хостинг-провайдер,хостинг-провайдер,"услуги размещения сайтов, аренда сервера, техническая поддержка хостинга",хостер
Целевая аудитория,целевая аудитория сайта,"портрет пользователя, сегментация аудитории, интересы посетителей",ЦА
Целевой поисковый запрос,целевой поисковый запрос,"запрос из семантического ядра, приоритетное продвижение, соответствие тематике сайта",целевой запрос
Частотность запроса,частотность запроса,"количество показов в месяц, высокочастотный запрос, низкочастотный запрос",частота запроса
Чёрные методы оптимизации,"чёрные методы SEO, black hat","запрещённые приёмы продвижения, накрутка и спам, риск санкций поисковика","black hat SEO, серая оптимизация"
ЧПУ (человекопонятный URL),"ЧПУ, человекопонятный URL","читаемый адрес страницы, ключевые слова в URL, структура ссылки",SEO-friendly URL
Шингл,"шингл, метод шинглов","проверка уникальности текста, разбиение на пересекающиеся фрагменты, алгоритм Яндекса",shingles
Экспертность контента,"экспертность, E-A-T","авторитетность автора, доверие к источнику, качество экспертизы",авторитетность автора
Яндекс.Вебмастер,Яндекс.Вебмастер,"панель для сайтов, индексация в Яндексе, отчёты об ошибках",сервис для вебмастеров Яндекса
Яндекс Директ,Яндекс.Директ,"контекстная реклама Яндекса, платный трафик, рекламный кабинет",Директ
Яндекс Каталог (YACA),"Яндекс Каталог, YACA","каталог сайтов Яндекса (закрыт), регистрация в каталоге, историческая ссылочная площадка",YACA
Яндекс.Метрика,Яндекс.Метрика,"веб-аналитика, отчёты по трафику, вебвизор",счётчик посещаемости
Alt-атрибут,alt-атрибут изображения,"альтернативный текст картинки, доступность для роботов, оптимизация изображений",alt-текст
AMP (ускоренные мобильные страницы),AMP-страницы,"ускоренные мобильные страницы, быстрая загрузка на смартфоне",ускоренные страницы
BERT,BERT,"обработка естественного языка, понимание контекста запроса, алгоритм Google",алгоритм BERT
BM25 (Okapi BM25),"BM25, Okapi BM25","формула ранжирования по релевантности, алгоритм текстового поиска, вес термина в документе",Okapi BM25
CatBoost,CatBoost,"алгоритм машинного обучения Яндекса, преемник Матрикснета, градиентный бустинг",алгоритм CatBoost
CLS,"CLS, Cumulative Layout Shift","смещение макета страницы, визуальная стабильность, удобство чтения",смещение вёрстки
CMS (система управления сайтом),CMS,"движок сайта, платформа для контента, WordPress и аналоги",система управления контентом
Cookie,"cookie, куки","файл для хранения данных пользователя, идентификация посетителя, персональные настройки",куки
Core Web Vitals,Core Web Vitals,"LCP, FID, CLS, показатели удобства страницы",базовые веб-показатели
CPA,"CPA, cost per action","оплата за целевое действие, стоимость привлечения клиента, модель рекламы",цена за действие
CPC,"CPC, cost per click","цена за клик, стоимость перехода в контекстной рекламе, модель оплаты рекламы",цена за клик
CPL,"CPL, cost per lead","оплата за лид, стоимость привлечения заявки, эффективность рекламной кампании",цена за лид
CTR (кликабельность),CTR сниппета,"доля кликов от показов, привлекательность заголовка, повышение кликабельности",кликабельность
d-url-rewriter.php (seo-модуль),d-url-rewriter.php,"скрипт для SEO-правок, независимость от CMS, обход ограничений движка сайта",SEO-модуль перезаписи URL
DA (Domain Authority),"DA, авторитетность домена","показатель Moz, прогноз ранжирования, оценка домена",авторитетность домена
Disavow,disavow ссылок,"отклонение токсичных ссылок, файл отклонения, инструмент Google/Яндекса",отклонение ссылок
DR (Domain Rating),"DR, рейтинг домена","показатель Ahrefs, ссылочный авторитет, сила домена",рейтинг домена
E-E-A-T,"E-E-A-T, экспертность контента","опыт автора, авторитетность, доверие к сайту",E-A-T
Event tracking,"event tracking, отслеживание событий","клики, скроллы, взаимодействия на сайте, цели в аналитике",трекинг событий
FAQ-разметка,"FAQ-разметка, Schema FAQPage","вопросы и ответы в сниппете, расширенный результат поиска, структурированные данные",разметка вопрос-ответ
FID,"FID, First Input Delay","задержка первого взаимодействия, отклик интерфейса, интерактивность страницы",задержка отклика
Flash/Флэш,"Flash, Флэш","устаревший формат анимации и видео, векторная графика, плохая индексация поисковиками",Adobe Flash
GEO,"GEO, генеративная оптимизация","оптимизация под ИИ-поиск, ответы нейросетей, видимость в LLM",generative engine optimization
GET-параметр (CGI-параметр),"GET-параметр, CGI-параметр","динамический параметр в URL, передача данных через адресную строку, влияние на дубли страниц",URL-параметр
Google Ads,Google Ads,"контекстная реклама Google, платный трафик, рекламная платформа поисковика",Google AdWords
Google AdSense,Google AdSense,"монетизация сайта рекламой, партнёрская программа Google, рекламные блоки на сайте",AdSense
Google Analytics,Google Analytics,"веб-аналитика Google, отчёты по аудитории, отслеживание конверсий",GA
Google Search Console,Google Search Console,"индексация сайта, отчёт об ошибках, панель вебмастера Google",GSC
HTML,"HTML, язык разметки","тег, структура веб-страницы, вёрстка сайта",Hyper Text Markup Language
HTTP-код ответа,HTTP-код ответа сервера,"статус страницы, коды 200/301/404/500, диагностика доступности",код ответа сервера
HTTPS,протокол HTTPS,"SSL-сертификат, безопасное соединение, фактор ранжирования",защищённый протокол
Human-First Content,"Human-First Content, контент для людей","приоритет пользователя над роботом, естественный стиль, полезность текста","контент, ориентированный на человека"
IP-адрес,IP-адрес,"сетевой идентификатор сервера, геолокация по IP, уникальный номер устройства в сети",IP
JS / JavaScript,"JavaScript, JS","язык программирования для интерактивности сайта, клиентский скрипт, рендеринг контента",джаваскрипт
KPI (ключевые показатели эффективности),KPI в SEO,"целевые метрики, оценка результата продвижения, план по трафику",ключевые показатели
LCP,"LCP, Largest Contentful Paint","скорость отрисовки контента, показатель загрузки, Core Web Vitals",время отрисовки крупного элемента
LSI,"LSI-фразы, латентно-семантическое индексирование","связанные по смыслу слова, семантическая близость, обогащение текста",latent semantic indexing
LTV,"LTV, lifetime value","пожизненная ценность клиента, суммарный доход с пользователя, метрика удержания",пожизненная ценность клиента
MFA,"MFA, made for AdSense","сайты, созданные ради рекламного дохода, низкое качество контента, санкции поисковиков",сайты под рекламу
Mixed content,mixed content,"смешанный контент, незащищённые элементы на HTTPS-странице, предупреждение браузера",смешанный контент
Mobile-first indexing,mobile-first индексация,"приоритет мобильной версии, индексация по мобильному сайту, адаптивность",мобильная индексация
Neural Matching,Neural Matching,"сопоставление смысла запроса и документа, нейросетевой алгоритм, синонимичные формулировки",нейронное сопоставление
Noindex,noindex,"запрет индексации страницы, мета-тег robots, исключение из поисковой базы",тег noindex
Pay-per-Click (PPC),"Pay-per-Click, PPC","оплата за клик, модель рекламы, стоимость перехода",оплата за переход
PBN,"PBN, сеть сайтов-сателлитов","собственная сеть доноров, риск санкций, искусственная ссылочная масса",private blog network
PR (PageRank),"PageRank, PR","алгоритм авторитетности страницы Google, ссылочный вес страницы, историческая метрика",пейджранк
RankBrain,RankBrain,"элемент машинного обучения Google, обработка новых запросов, интерпретация смысла",алгоритм RankBrain
ROI (окупаемость инвестиций),ROI в SEO,"возврат инвестиций, эффективность вложений в продвижение",окупаемость вложений
ROMI,"ROMI, return on marketing investment","окупаемость маркетинговых инвестиций, эффективность рекламного бюджета, доходность вложений в продвижение",рентабельность маркетинга
Sandbox,"sandbox, песочница","временное ограничение видимости нового сайта, испытательный период, задержка ранжирования",эффект песочницы
SEO,"SEO, поисковая оптимизация сайта","продвижение в поиске, органический трафик, работа с поисковыми системами",search engine optimization
SERM,"SERM, управление репутацией в поиске","работа с отзывами, вытеснение негатива из топа, репутационный маркетинг",search engine reputation management
Spam Score,Spam Score,"показатель Moz, риск санкций, доля спамных признаков домена",показатель спамности
Spam Update,spam update,"обновление против спама, чистка выдачи, борьба с накруткой",антиспам-апдейт
SSL,SSL-сертификат,"шифрование данных, безопасное соединение, замок в браузере",сертификат безопасности
TF-IDF,TF-IDF,"статистическая мера значимости слова в документе, term frequency-inverse document frequency, алгоритм текстового анализа",term frequency-inverse document frequency
URL-адрес,URL-адрес,"адрес страницы в интернете, ссылка на ресурс, структура URL","URL, веб-адрес"
UTM-метки,UTM-метки,"разметка ссылок для аналитики, источник и канал трафика, отслеживание кампаний",UTM-параметры
UX/UI (юзабилити и интерфейс),"UX, UI сайта","удобство пользователя, дизайн интерфейса, поведенческие факторы",юзабилити
Wayback Machine,Wayback Machine,"архив веб-страниц, история изменений сайта, проверка прошлых версий",веб-архив
WHOIS,WHOIS,"сервис проверки владельца домена, дата регистрации домена, контактные данные администратора",whois-сервис
404 ошибка,ошибка 404,"страница не найдена, битая ссылка, потеря трафика",page not found
410 ошибка,ошибка 410,"страница удалена окончательно, сигнал роботу, исключение из индекса",gone
500 ошибка,ошибка 500,"внутренняя ошибка сервера, недоступность сайта, сбой хостинга",internal server error
Юзабилити,юзабилити сайта,"удобство использования, пользовательский опыт, простота навигации",usability
