"phrase","collision_result","semantic_risk","final_action","explanation"
"сертификация специалиста","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"школа","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"с нуля","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"скачать","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"торрент","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"crack","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"кряк","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"ключ активации","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"бесплатно скачать","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"установка платформы бесплатно","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"торрент","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"инструкция","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"руководство","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"форум","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"pdf","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"книга","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"своими руками","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"самостоятельно","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"что такое","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"как стать","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"документация","NONE","SAFE","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
