"group_id","marker","phrase","bid","tier","decision","commercial_conf","hypothesis"
"CORV-G08-02","[C08]","тс пиот в 1с унф","467","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот как установить в 1с","452","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот установка 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G08-02","[C08]","тс пиот честный знак 1с","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «тс пиот честный знак 1с»."
"CORV-G06-05","[C06]","1с маркировка пива","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-05","[C06]","маркировка пива 1с","532","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-06","[C06]","1с маркировка воды","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-06","[C06]","маркировка воды 1с","532","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-06","[C06]","маркировка воды в 1с","507","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-07","[C06]","маркировка косметики 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","маркировка лекарств","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","маркировка лекарств 1с","542","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","маркировка лекарств аптека","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «маркировка лекарств аптека»."
"CORV-G06-08","[C06]","маркировка упаковки лекарств","512","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","проверка маркировки лекарств","497","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","систему маркировки лекарств","482","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-08","[C06]","честный знак маркировка лекарств","467","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-09","[C06]","маркировка бытовой химии 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","автозапчасти маркировка честный знак","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","маркировка автозапчастей","542","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","маркировка автозапчастей 1с","527","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","маркировка автозапчастей честный","512","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","маркировка остатков автозапчастей","497","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","маркировка товара автозапчасти","482","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","нужна ли маркировка на автозапчасти","467","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-10","[C06]","опубликован проект по маркировке автозапчастей","452","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-11","[C06]","в 1с маркировка моторные масла","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-11","[C06]","маркировка масел 1с","532","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-12","[C06]","маркировка техники 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-13","[C06]","маркировка строительных материалов 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","1с 8.3 честный знак","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «1с 8.3 честный знак»."
"CORV-G06-03","[C06]","1с бухгалтерия честный знак","542","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","1с номенклатура честный знак","527","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","1с торговля честный знак","512","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","1с унф честный знак","497","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","агрегация кодов маркировки честный знак в 1с","482","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","интеграция 1с и честный знак","467","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","коды маркировки честный знак в 1с","452","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","лм честный знак 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка остатков честный знак в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка товаров в 1с честный знак","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с бухгалтерия","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с розница","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с унф","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с ут","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","маркировка честный знак в 1с erp","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","настройка честного знака в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","работа с маркировкой честный знак в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","работа с честным знаком в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","честный знак 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","честный знак в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","честный знак в 1с ут","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","честный знак модуль 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-03","[C06]","честный знак через 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-04","[C06]","ошибка маркировки 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","1с маркировка в производстве","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","1с маркировка ввод в оборот","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","внедрение маркировки в 1с","526","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","маркировка в 1с","511","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настроить маркировку в 1с","396","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с","381","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с бухгалтерия","366","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница","351","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница 2.3","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с розница 3.0","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Narrow test: users configuring TS PIOT/marking in 1C retail may convert to paid setup for «настройка маркировки в 1с розница 3.0»."
"CORV-G06-01","[C06]","настройка маркировки в 1с унф","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут 11","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка маркировки в 1с ут 11.5","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройка сканера для маркировки в 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","настройки сканирования кодов маркировки в 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","подключение маркировки 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-01","[C06]","подключение маркировки в 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-02","[C06]","маркировка в 1с розница настройка номенклатуры","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-02","[C06]","маркировка моторных масел в 1с розница настройка","531","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G06-02","[C06]","настройка маркировки 1с","406","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-03","[C07]","не работает синхронизация 1с","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-03","[C07]","не работает синхронизация 1с 8.3","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-03","[C07]","после обновления 1с не работает синхронизация","416","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-03","[C07]","почему не работает синхронизация в 1с","391","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-02","[C07]","1с ошибка печатная форма недоступна","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-02","[C07]","ошибка 1с","540","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-02","[C07]","ошибка 1с после обновления","516","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-02","[C07]","ошибки программиста 1с","490","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-04","[C07]","восстановление работы 1с","450","T2","ACTIVE NARROW","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-01","[C07]","1с не работает","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-01","[C07]","почему не работает программа 1с","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-01","[C07]","программа 1с не работает","516","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G07-01","[C07]","срочно программист 1с","490","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","1с битрикс документооборот интеграция","450","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","1с унф битрикс интеграция","441","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","битрикс 24 модуль интеграции с 1с","526","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","битрикс интеграция с 1с","411","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","битрикс интернет магазины интеграцией 1с","396","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","битрикс сайт интеграция с 1с","381","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","битрикс управление сайтом интеграция с 1с","366","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с битрикс","351","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с битрикс и битрикс24","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с битрикс магазина с 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с бухгалтерия битрикс","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с бухгалтерия и битрикс 24","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция 1с и битрикс 24","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция битрикс 1с ут","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция битрикс 1с фреш","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция битрикс 1с erp","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция битрикс и 1с управление торговлей","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","интеграция сайта 1с битрикс","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","модули интеграции 1с битрикс","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-02","[C05]","настройка интеграции 1с и битрикс","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","1с настройка интеграции с сайтом","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","1с унф интеграция с сайтом","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","интеграция 1с с сайтом","526","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","интеграция сайта с 1с","511","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","интеграция сайта с 1с по api","496","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","обмена с сайтом 1с интеграция","481","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","сайт личного кабинета интеграция с 1с","466","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","синхронизация сайта 1с","451","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-01","[C05]","управление сайтом интеграция с 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с касса синхронизация розница","550","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с касса синхронизация с бухгалтерией","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с мобильная касса настройка синхронизации","426","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация","511","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация с 1с бухгалтерия","396","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","1с мобильная касса синхронизация с 1с розница","381","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","интеграция 1с с кассой","366","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","синхронизация 1с касса","451","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-03","[C05]","синхронизация 1с унф с кассой","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-06","[C05]","миграция данных 1с","350","T3","ACTIVE NARROW","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-06","[C05]","перенос данных в 1с","331","T3","ACTIVE NARROW","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с 8.3 зуп синхронизация","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Paid exchange setup: «1с 8.3 зуп синхронизация» often precedes hiring a 1C integrator to fix or configure synchronization."
"CORV-G05-04","[C05]","1с бп синхронизация","541","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с бух синхронизация","526","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с бухгалтерия 8.3 синхронизация","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Paid exchange setup: «1с бухгалтерия 8.3 синхронизация» often precedes hiring a 1C integrator to fix or configure synchronization."
"CORV-G05-04","[C05]","1с бухгалтерия синхронизация","496","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с зуп настройка синхронизации","381","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с настроить синхронизацию","366","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с розница синхронизация","451","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с сделать синхронизацию","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с синхронизация зуп бп","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","1с унф синхронизация","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","настройка синхронизации 1с","350","T2","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","синхронизация 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","синхронизация 1с 8.3","250","T3","CONTROLLED TEST — JUSTIFIED","CONTROLLED","Paid exchange setup: «синхронизация 1с 8.3» often precedes hiring a 1C integrator to fix or configure synchronization."
"CORV-G05-04","[C05]","синхронизация 1с ут","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","синхронизация баз 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","синхронизация данных в 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
"CORV-G05-04","[C05]","синхронизация документов 1с","450","T1","ACTIVE COMMERCIAL","HIGH","Не применимо — ключевое слово не является контролируемым тестом"
