"keyword_id","phrase","assigned_group","literal_interpretation","user_need","paid_service","alt_interpretation","commercial_conf","group_fit_conf","ad_fit","landing_fit","decision","phrase_reason","review_status"
"kw-corv01-disc-2334","не удалось подключиться к тс пиоту 1с","CORV-G08-01","Дословно: запрос «не удалось подключиться к тс пиоту 1с» в контексте 1С/учётных систем.","Заказ настройки/подключения — «не удалось подключиться к тс пиоту 1с»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «не удалось подключиться к тс пиоту 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: удалось, подключиться, пиоту.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2321","подключение тс пиот к 1с","CORV-G08-01","Дословно: запрос «подключение тс пиот к 1с» в контексте 1С/учётных систем.","Заказ настройки/подключения — «подключение тс пиот к 1с»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «подключение тс пиот к 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: подключение, пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2316","тс пиот 1с розница 2.3","CORV-G08-01","Дословно: запрос «тс пиот 1с розница 2.3» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с розница 2.3»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","REASSIGN GROUP","REASSIGN: «тс пиот 1с розница 2.3» из CORV-G08-02 в CORV-G08-01 — pattern тс пиот.*розница → general owner CORV-G08-01.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2338","тс пиот 1с розница 3","CORV-G08-01","Дословно: запрос «тс пиот 1с розница 3» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с розница 3»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","REASSIGN GROUP","REASSIGN: «тс пиот 1с розница 3» из CORV-G08-02 в CORV-G08-01 — pattern тс пиот.*розница → general owner CORV-G08-01.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2322","тс пиот 1с розница 3.0","CORV-G08-01","Дословно: запрос «тс пиот 1с розница 3.0» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с розница 3.0»","Настройка ТС ПИОТ в 1С","Поиск версии конфигурации или документации","MEDIUM","HIGH","match","planned_url_match","REASSIGN GROUP","REASSIGN: «тс пиот 1с розница 3.0» из CORV-G08-02 в CORV-G08-01 — pattern тс пиот.*розница → general owner CORV-G08-01.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2329","тс пиот и 1с розница","CORV-G08-01","Дословно: запрос «тс пиот и 1с розница» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот и 1с розница»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","MEDIUM","HIGH","match","planned_url_match","REASSIGN GROUP","REASSIGN: «тс пиот и 1с розница» из CORV-G08-02 в CORV-G08-01 — pattern тс пиот.*розница → general owner CORV-G08-01.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2315","тс пиот настройка в 1с","CORV-G08-01","Дословно: запрос «тс пиот настройка в 1с» в контексте 1С/учётных систем.","Заказ настройки/подключения — «тс пиот настройка в 1с»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот настройка в 1с» — заказ услуги «Настройка ТС ПИОТ в 1С»; ключевые сигналы: пиот, настройка.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-1257","тс пиот честный знак 1с розница","CORV-G08-01","Дословно: запрос «тс пиот честный знак 1с розница» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «тс пиот честный знак 1с розница»","Настройка ТС ПИОТ в 1С","Информационный или смешанный интент без явного заказа услуги","MEDIUM","HIGH","match","planned_url_match","REASSIGN GROUP","REASSIGN: «тс пиот честный знак 1с розница» из CORV-G08-02 в CORV-G08-01 — pattern тс пиот.*розница → general owner CORV-G08-01.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2317","1с ут тс пиот","CORV-G08-02","Дословно: запрос «1с ут тс пиот» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «1с ут тс пиот»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «1с ут тс пиот» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2325","модуль тс пиот 1с","CORV-G08-02","Дословно: запрос «модуль тс пиот 1с» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «модуль тс пиот 1с»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «модуль тс пиот 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: модуль, пиот.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2327","тс пиот 1с атол","CORV-G08-02","Дословно: запрос «тс пиот 1с атол» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с атол»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с атол» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, атол.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2333","тс пиот 1с бухгалтерия","CORV-G08-02","Дословно: запрос «тс пиот 1с бухгалтерия» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с бухгалтерия»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с бухгалтерия» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, бухгалтерия.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2323","тс пиот 1с касса","CORV-G08-02","Дословно: запрос «тс пиот 1с касса» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с касса»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с касса» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, касса.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2337","тс пиот 1с рмк","CORV-G08-02","Дословно: запрос «тс пиот 1с рмк» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот 1с рмк»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот 1с рмк» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, рмк.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2328","тс пиот в 1с унф","CORV-G08-02","Дословно: запрос «тс пиот в 1с унф» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот в 1с унф»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот в 1с унф» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, унф.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2340","тс пиот как установить в 1с","CORV-G08-02","Дословно: запрос «тс пиот как установить в 1с» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот как установить в 1с»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот как установить в 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, как, установить.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2319","тс пиот установка 1с","CORV-G08-02","Дословно: запрос «тс пиот установка 1с» в контексте 1С/учётных систем.","Настройка/интеграция ТС ПИОТ — «тс пиот установка 1с»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «тс пиот установка 1с» — заказ услуги «Интеграция ТС ПИОТ с 1С»; ключевые сигналы: пиот, установка.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-1163","тс пиот честный знак 1с","CORV-G08-02","Дословно: запрос «тс пиот честный знак 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «тс пиот честный знак 1с»","Интеграция ТС ПИОТ с 1С","Информационный или смешанный интент без явного заказа услуги","MEDIUM","HIGH","match","planned_url_match","CONTROLLED TEST","CONTROLLED TEST: «тс пиот честный знак 1с» — смешанный интент; риск: Информационный или смешанный интент без явного заказа услуги; услуга: Интеграция ТС ПИОТ с 1С.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2258","1с маркировка пива","CORV-G06-05","Дословно: запрос «1с маркировка пива» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «1с маркировка пива»","Маркировка напитков в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «1с маркировка пива» — заказ услуги «Маркировка напитков в 1С»; ключевые сигналы: маркировка, пива.","SEMANTICALLY REVIEWED"
"kw-corv01-016","маркировка пива 1с","CORV-G06-05","Дословно: запрос «маркировка пива 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка пива 1с»","Маркировка напитков в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка пива 1с» — заказ услуги «Маркировка напитков в 1С»; ключевые сигналы: маркировка, пива.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2259","1с маркировка воды","CORV-G06-06","Дословно: запрос «1с маркировка воды» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «1с маркировка воды»","Маркировка воды в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «1с маркировка воды» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","SEMANTICALLY REVIEWED"
"kw-corv01-017","маркировка воды 1с","CORV-G06-06","Дословно: запрос «маркировка воды 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка воды 1с»","Маркировка воды в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка воды 1с» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-1024","маркировка воды в 1с","CORV-G06-06","Дословно: запрос «маркировка воды в 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка воды в 1с»","Маркировка воды в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка воды в 1с» — заказ услуги «Маркировка воды в 1С»; ключевые сигналы: маркировка, воды.","SEMANTICALLY REVIEWED"
"seed-CORV-G06-07-core-маркировка-к","маркировка косметики 1с","CORV-G06-07","Дословно: запрос «маркировка косметики 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка косметики 1с»","Маркировка косметики в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка косметики 1с» — заказ услуги «Маркировка косметики в 1С»; ключевые сигналы: маркировка, косметики.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2260","маркировка лекарств","CORV-G06-08","Дословно: запрос «маркировка лекарств» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка лекарств»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, лекарств.","SEMANTICALLY REVIEWED"
"kw-corv01-018","маркировка лекарств 1с","CORV-G06-08","Дословно: запрос «маркировка лекарств 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка лекарств 1с»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка лекарств 1с» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, лекарств.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2271","маркировка лекарств аптека","CORV-G06-08","Дословно: запрос «маркировка лекарств аптека» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка лекарств аптека»","Маркировка лекарств в 1С","Розничная аптека ищет нормативную информацию","MEDIUM","HIGH","match","planned_url_match","CONTROLLED TEST","CONTROLLED TEST: «маркировка лекарств аптека» — смешанный интент; риск: Розничная аптека ищет нормативную информацию; услуга: Маркировка лекарств в 1С.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2272","маркировка лекарств проверить","CORV-G06-08","Дословно: запрос «маркировка лекарств проверить» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка лекарств проверить»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка лекарств проверить» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, лекарств, проверить.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2267","маркировка упаковки лекарств","CORV-G06-08","Дословно: запрос «маркировка упаковки лекарств» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка упаковки лекарств»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка упаковки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: маркировка, упаковки, лекарств.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2276","проверка маркировки лекарств","CORV-G06-08","Дословно: запрос «проверка маркировки лекарств» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «проверка маркировки лекарств»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «проверка маркировки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: проверка, маркировки, лекарств.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2268","систему маркировки лекарств","CORV-G06-08","Дословно: запрос «систему маркировки лекарств» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «систему маркировки лекарств»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «систему маркировки лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: систему, маркировки, лекарств.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2261","честный знак маркировка лекарств","CORV-G06-08","Дословно: запрос «честный знак маркировка лекарств» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «честный знак маркировка лекарств»","Маркировка лекарств в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","HIGH","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «честный знак маркировка лекарств» — заказ услуги «Маркировка лекарств в 1С»; ключевые сигналы: честный, знак, маркировка, лекарств.","SEMANTICALLY REVIEWED"
"seed-CORV-G06-09-core-маркировка-б","маркировка бытовой химии 1с","CORV-G06-09","Дословно: запрос «маркировка бытовой химии 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка бытовой химии 1с»","Маркировка бытовой химии в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка бытовой химии 1с» — заказ услуги «Маркировка бытовой химии в 1С»; ключевые сигналы: маркировка, бытовой, химии.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2295","автозапчасти маркировка честный знак","CORV-G06-10","Дословно: запрос «автозапчасти маркировка честный знак» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «автозапчасти маркировка честный знак»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «автозапчасти маркировка честный знак» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: автозапчасти, маркировка, честный, знак.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2293","маркировка автозапчастей","CORV-G06-10","Дословно: запрос «маркировка автозапчастей» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка автозапчастей»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей.","SEMANTICALLY REVIEWED"
"kw-corv01-020","маркировка автозапчастей 1с","CORV-G06-10","Дословно: запрос «маркировка автозапчастей 1с» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка автозапчастей 1с»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей 1с» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2300","маркировка автозапчастей 2026","CORV-G06-10","Дословно: запрос «маркировка автозапчастей 2026» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка автозапчастей 2026»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей 2026» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей, 2026.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2294","маркировка автозапчастей честный","CORV-G06-10","Дословно: запрос «маркировка автозапчастей честный» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка автозапчастей честный»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей честный» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей, честный.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2308","маркировка автозапчастей честный знак 2026","CORV-G06-10","Дословно: запрос «маркировка автозапчастей честный знак 2026» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка автозапчастей честный знак 2026»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка автозапчастей честный знак 2026» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, автозапчастей, честный, знак, 2026.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2309","маркировка остатков автозапчастей","CORV-G06-10","Дословно: запрос «маркировка остатков автозапчастей» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка остатков автозапчастей»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка остатков автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, остатков, автозапчастей.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2305","маркировка товара автозапчасти","CORV-G06-10","Дословно: запрос «маркировка товара автозапчасти» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «маркировка товара автозапчасти»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «маркировка товара автозапчасти» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: маркировка, товара, автозапчасти.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2314","нужна ли маркировка на автозапчасти","CORV-G06-10","Дословно: запрос «нужна ли маркировка на автозапчасти» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «нужна ли маркировка на автозапчасти»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «нужна ли маркировка на автозапчасти» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: нужна, маркировка, автозапчасти.","SEMANTICALLY REVIEWED"
"kw-corv01-disc-2306","опубликован проект по маркировке автозапчастей","CORV-G06-10","Дословно: запрос «опубликован проект по маркировке автозапчастей» в контексте 1С/учётных систем.","Подключение маркировки в 1С — «опубликован проект по маркировке автозапчастей»","Маркировка автозапчастей в 1С","Информационный или смешанный интент без явного заказа услуги","HIGH","MEDIUM","match","planned_url_match","ACTIVE COMMERCIAL","ACTIVE: «опубликован проект по маркировке автозапчастей» — заказ услуги «Маркировка автозапчастей в 1С»; ключевые сигналы: опубликован, проект, маркировке, автозапчастей.","SEMANTICALLY REVIEWED"
