"negative","level","scope","token_type","decision","replacement","risk","representative_phrases","explanation","status"
"crack","global","ALL","exact word","SAFE","","Broad token «crack» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"кряк","global","ALL","exact word","SAFE","","Broad token «кряк» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"ключ активации","global","ALL","phrase","SAFE","","Broad token «ключ активации» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"бесплатно скачать","global","ALL","phrase","SAFE","","Broad token «бесплатно скачать» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"установка платформы бесплатно","global","ALL","phrase","SAFE","","Broad token «установка платформы бесплатно» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"инструкция","global","ALL","exact word","SAFE","","Broad token «инструкция» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"руководство","global","ALL","exact word","SAFE","","Broad token «руководство» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"форум","global","ALL","exact word","SAFE","","Broad token «форум» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"pdf","global","ALL","exact word","SAFE","","Broad token «pdf» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"книга","global","ALL","exact word","SAFE","","Broad token «книга» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"своими руками","global","ALL","phrase","SAFE","","Broad token «своими руками» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"самостоятельно","global","ALL","exact word","SAFE","","Broad token «самостоятельно» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"что такое","global","ALL","phrase","SAFE","","Broad token «что такое» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"как стать","global","ALL","phrase","SAFE","","Broad token «как стать» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"документация","global","ALL","exact word","SAFE","","Broad token «документация» on global/ALL — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"маркировка","direction","CORV-C01","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C01 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск; абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"честный знак","direction","CORV-C01","phrase","SAFE","","Broad token «честный знак» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C01","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"не работает","direction","CORV-C01","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"ошибка","direction","CORV-C01","stem-like token","SAFE","","Broad token «ошибка» on direction/CORV-C01 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск; абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates troubleshooting CORV-C07; representative checks pass for scope.","RESOLVED"
"вакансия программист","direction","CORV-C01","phrase","SAFE","","Broad token «вакансия программист» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"отчет","direction","CORV-C01","exact word","SAFE","","Broad token «отчет» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"печатная форма","direction","CORV-C01","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"рмк","direction","CORV-C01","exact word","SAFE","","Broad token «рмк» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"тс пиот","direction","CORV-C01","phrase","SAFE","","Broad token «тс пиот» on direction/CORV-C01 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"интеграция сайт","direction","CORV-C01","phrase","SAFE","","Broad token «интеграция сайт» on direction/CORV-C01 — monitored stem","программист 1с новосибирск; программисты 1с новосибирск; абонентское обслуживание 1с; абонентское сопровождение 1с; абонентское сопровождение 1с первый бит","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope.","RESOLVED"
"синхронизация","direction","CORV-C01","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"маркировка","direction","CORV-C02","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C02 — monitored stem","обновление доработанной 1с; обновление доработанных конфигураций 1с; перенос доработок 1с; сохранение доработок при обновлении 1с; исправление доработок после обновления 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"честный знак","direction","CORV-C02","phrase","SAFE","","Broad token «честный знак» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"отчет","direction","CORV-C02","exact word","SAFE","","Broad token «отчет» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"печатная форма","direction","CORV-C02","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"рмк","direction","CORV-C02","exact word","SAFE","","Broad token «рмк» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"не работает","direction","CORV-C02","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"вакансия","direction","CORV-C02","exact word","SAFE","","Broad token «вакансия» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсы","direction","CORV-C02","exact word","SAFE","","Broad token «курсы» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C02","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C02 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"интеграция","direction","CORV-C02","stem-like token","SAFE","","Broad token «интеграция» on direction/CORV-C02 — monitored stem","обновление доработанной 1с; обновление доработанных конфигураций 1с; перенос доработок 1с; сохранение доработок при обновлении 1с; исправление доработок после обновления 1с","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope.","RESOLVED"
"синхронизация","direction","CORV-C02","stem-like token","REMOVE","","Cash-register sync group must not minus stem «синхрон»","1с касса синхронизация розница; 1с касса синхронизация с бухгалтерией; 1с мобильная касса настройка синхронизации; 1с мобильная касса синхронизация; 1с мобильная касса синхронизация с 1с бухгалтерия","Regression REG-04: Cash-register sync group must not minus stem «синхрон»","RESOLVED"
"маркировка","direction","CORV-C03","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C03 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"честный знак","direction","CORV-C03","phrase","SAFE","","Broad token «честный знак» on direction/CORV-C03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"программист вакансия","direction","CORV-C03","phrase","SAFE","","Broad token «программист вакансия» on direction/CORV-C03 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C03","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"не работает","direction","CORV-C03","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"доработка базы","direction","CORV-C03","phrase","SAFE","","Broad token «доработка базы» on direction/CORV-C03 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"сопровождение","direction","CORV-C03","exact word","SAFE","","Broad token «сопровождение» on direction/CORV-C03 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"интеграция","direction","CORV-C03","stem-like token","SAFE","","Broad token «интеграция» on direction/CORV-C03 — monitored stem","1с 7.7 изменить печатную форму; 1с 8.3 изменить печатную форму счета; 1с изменить печатную форму счета; 1с ут изменить печатную форму; доработка печатной формы 1с","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope.","RESOLVED"
"маркировка","direction","CORV-C04","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C04 — monitored stem","расчет себестоимости 1с; себестоимость в 1с; планирование закупок 1с; платежный календарь 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"честный знак","direction","CORV-C04","phrase","SAFE","","Broad token «честный знак» on direction/CORV-C04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"вакансия","direction","CORV-C04","exact word","SAFE","","Broad token «вакансия» on direction/CORV-C04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсы","direction","CORV-C04","exact word","SAFE","","Broad token «курсы» on direction/CORV-C04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C04","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C04 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"программист","direction","CORV-C04","stem-like token","SAFE","","Broad token «программист» on direction/CORV-C04 — monitored stem","расчет себестоимости 1с; себестоимость в 1с; планирование закупок 1с; платежный календарь 1с","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","RESOLVED"
"доработка","direction","CORV-C04","stem-like token","SAFE","","Broad token «доработка» on direction/CORV-C04 — monitored stem","расчет себестоимости 1с; себестоимость в 1с; планирование закупок 1с; платежный календарь 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"не работает","direction","CORV-C04","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"маркировка","direction","CORV-C05","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C05 — monitored stem","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"честный знак","direction","CORV-C05","phrase","REMOVE","","Literal collision with 2 active phrase(s) in owner scope","настройка обмена суз 1с честный знак; настройка обмена суз 1с честный знак розница","Removed: «честный знак» blocks «настройка обмена суз 1с честный знак» in CORV-G05-05.","RESOLVED"
"вакансия программист","direction","CORV-C05","phrase","SAFE","","Broad token «вакансия программист» on direction/CORV-C05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"доработка отчета","direction","CORV-C05","phrase","SAFE","","Broad token «доработка отчета» on direction/CORV-C05 — monitored stem","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"не работает","direction","CORV-C05","phrase","REMOVE","","Exchange-failure group must not minus core symptom «не работает»","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»","RESOLVED"
"сопровождение","direction","CORV-C05","exact word","SAFE","","Broad token «сопровождение» on direction/CORV-C05 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"программист услуги","direction","CORV-C05","phrase","SAFE","","Broad token «программист услуги» on direction/CORV-C05 — monitored stem","1с битрикс документооборот интеграция; 1с унф битрикс интеграция; битрикс 24 модуль интеграции с 1с; битрикс интеграция с 1с; битрикс интернет магазины интеграцией 1с","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","RESOLVED"
"программист вакансия","direction","CORV-C06","phrase","SAFE","","Broad token «программист вакансия» on direction/CORV-C06 — monitored stem","1с маркировка пива; маркировка пива 1с; 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","RESOLVED"
"доработка 1с","direction","CORV-C06","phrase","SAFE","","Broad token «доработка 1с» on direction/CORV-C06 — monitored stem","1с маркировка пива; маркировка пива 1с; 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"сопровождение абонент","direction","CORV-C06","phrase","SAFE","","Broad token «сопровождение абонент» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C06","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"интеграция сайт","direction","CORV-C06","phrase","SAFE","","Broad token «интеграция сайт» on direction/CORV-C06 — monitored stem","1с маркировка пива; маркировка пива 1с; 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope.","RESOLVED"
"отчет","direction","CORV-C06","exact word","SAFE","","Broad token «отчет» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"печатная форма","direction","CORV-C06","phrase","REMOVE","","External print-form group must not minus «печатная форма»","1с 3.0 внешние печатные формы; 1с 8.3 внешние печатные формы упд; 1с бп внешняя печатная форма; 1с бухгалтерия внешние печатные формы; 1с внешние печатные формы управляемые","Regression REG-03: External print-form group must not minus «печатная форма»","RESOLVED"
"не работает 1с","direction","CORV-C06","phrase","SAFE","","Broad token «не работает 1с» on direction/CORV-C06 — monitored stem","1с маркировка пива; маркировка пива 1с; 1с маркировка воды; маркировка воды 1с; маркировка воды в 1с","SAFE: no literal collision in owner groups; separates urgent troubleshooting CORV-C07; representative checks pass for scope.","RESOLVED"
"тс пиот","direction","CORV-C06","phrase","SAFE","","Broad token «тс пиот» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"как настроить","direction","CORV-C06","phrase","SAFE","","Broad token «как настроить» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"как сделать","direction","CORV-C06","phrase","SAFE","","Broad token «как сделать» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"подлежит маркировке","direction","CORV-C06","phrase","SAFE","","Broad token «подлежит маркировке» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"сроки маркировки","direction","CORV-C06","phrase","SAFE","","Broad token «сроки маркировки» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"список маркируемых","direction","CORV-C06","phrase","SAFE","","Broad token «список маркируемых» on direction/CORV-C06 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"вакансия","direction","CORV-C07","exact word","SAFE","","Broad token «вакансия» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"работа программист","direction","CORV-C07","phrase","SAFE","","Broad token «работа программист» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсы","direction","CORV-C07","exact word","SAFE","","Broad token «курсы» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"маркировка","direction","CORV-C07","stem-like token","SAFE","","Broad token «маркировка» on direction/CORV-C07 — monitored stem","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с; 1с ошибка печатная форма недоступна","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","RESOLVED"
"битрикс","direction","CORV-C07","exact word","SAFE","","Broad token «битрикс» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"доработка","direction","CORV-C07","stem-like token","SAFE","","Broad token «доработка» on direction/CORV-C07 — monitored stem","не работает синхронизация 1с; не работает синхронизация 1с 8.3; после обновления 1с не работает синхронизация; почему не работает синхронизация в 1с; 1с ошибка печатная форма недоступна","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","RESOLVED"
"внедрение","direction","CORV-C07","exact word","SAFE","","Broad token «внедрение» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"сопровождение","direction","CORV-C07","exact word","SAFE","","Broad token «сопровождение» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"как настроить","direction","CORV-C07","phrase","SAFE","","Broad token «как настроить» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"инструкция","direction","CORV-C07","exact word","SAFE","","Broad token «инструкция» on direction/CORV-C07 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"вакансия","direction","CORV-C08","exact word","SAFE","","Broad token «вакансия» on direction/CORV-C08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
"курсы","direction","CORV-C08","exact word","SAFE","","Broad token «курсы» on direction/CORV-C08 — monitored stem","","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope.","RESOLVED"
