"direction_id","phrase","final_action","explanation"
"CORV-C03","честный знак","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C03","программист вакансия","SAFE","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope."
"CORV-C03","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C03","не работает","REMOVE","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"CORV-C03","доработка базы","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
"CORV-C03","сопровождение","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C03","интеграция","SAFE","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope."
"CORV-C04","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C04","честный знак","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C04","вакансия","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C04","курсы","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C04","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C04","программист","SAFE","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope."
"CORV-C04","доработка","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
"CORV-C04","не работает","REMOVE","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"CORV-C05","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C05","честный знак","REMOVE","Removed: «честный знак» blocks «настройка обмена суз 1с честный знак» in CORV-G05-05."
"CORV-C05","вакансия программист","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C05","доработка отчета","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
"CORV-C05","не работает","REMOVE","Regression REG-02: Exchange-failure group must not minus core symptom «не работает»"
"CORV-C05","сопровождение","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C05","программист услуги","SAFE","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope."
"CORV-C06","программист вакансия","SAFE","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope."
"CORV-C06","доработка 1с","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
"CORV-C06","сопровождение абонент","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","интеграция сайт","SAFE","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for scope."
"CORV-C06","отчет","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","печатная форма","REMOVE","Regression REG-03: External print-form group must not minus «печатная форма»"
"CORV-C06","не работает 1с","SAFE","SAFE: no literal collision in owner groups; separates urgent troubleshooting CORV-C07; representative checks pass for scope."
"CORV-C06","тс пиот","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","как настроить","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","как сделать","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","подлежит маркировке","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","сроки маркировки","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C06","список маркируемых","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","вакансия","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","работа программист","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","курсы","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","маркировка","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C07","битрикс","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","доработка","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
"CORV-C07","внедрение","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","сопровождение","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","как настроить","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C07","инструкция","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C08","вакансия","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C08","курсы","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C08","маркировка пива","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C08","маркировка воды","SAFE","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope."
"CORV-C08","лекарства маркировка","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C08","автозапчасти маркировка","SAFE","SAFE: no literal collision in owner groups; separates sibling groups; representative checks pass for scope."
"CORV-C08","программист","SAFE","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope."
"CORV-C08","доработка","SAFE","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope."
