"finding_id","group_id","keyword","negative","level","type","evidence","result_before","correction","result_after","status"
"CF-0016","CORV-G01-08","1с программист без образования","программист","group_cross","BLOCKING","Literal match: «1с программист без образования» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0017","CORV-G01-08","ищу 1с программиста для разовой задачи","программист","group_cross","BLOCKING","Literal match: «ищу 1с программиста для разовой задачи» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0018","CORV-G01-08","образование программист 1с","программист","group_cross","BLOCKING","Literal match: «образование программист 1с» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0019","CORV-G01-08","программист 1с без высшего образования","программист","group_cross","BLOCKING","Literal match: «программист 1с без высшего образования» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"CF-0020","CORV-G01-08","программист 1с высшее образование","программист","group_cross","BLOCKING","Literal match: «программист 1с высшее образование» × «программист»","BLOCKING","blocks_own_group_keyword","PASS","RESOLVED"
"SF-0021","CORV-G08-01","1с розница подключение тс пиот","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0022","CORV-G08-01","1с розница подключение тс пиот","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0023","CORV-G08-01","1с розница подключение тс пиот","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0024","CORV-G08-01","1с розница подключение тс пиот","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0025","CORV-G08-01","1с розница подключение тс пиот","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0026","CORV-G08-01","1с розница подключение тс пиот","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0027","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0028","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0029","CORV-G08-01","настройка подключения к тс пиот 1с","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0030","CORV-G08-01","настройка подключения к тс пиот 1с","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0031","CORV-G08-01","настройка подключения к тс пиот 1с","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0032","CORV-G08-01","настройка подключения к тс пиот 1с","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0033","CORV-G08-01","настройка подключения к тс пиот 1с розница","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0034","CORV-G08-01","настройка подключения к тс пиот 1с розница","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0035","CORV-G08-01","настройка подключения к тс пиот 1с розница","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0036","CORV-G08-01","настройка подключения к тс пиот 1с розница","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0037","CORV-G08-01","настройка подключения к тс пиот 1с розница","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0038","CORV-G08-01","настройка подключения к тс пиот 1с розница","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0039","CORV-G08-01","настройка тс пиот в 1с розница","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0040","CORV-G08-01","настройка тс пиот в 1с розница","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0041","CORV-G08-01","настройка тс пиот в 1с розница","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0042","CORV-G08-01","настройка тс пиот в 1с розница","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0043","CORV-G08-01","настройка тс пиот в 1с розница","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0044","CORV-G08-01","настройка тс пиот в 1с розница","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0045","CORV-G08-01","настройка тс пиот в 1с розница 2.3","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0046","CORV-G08-01","настройка тс пиот в 1с розница 2.3","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0047","CORV-G08-01","настройка тс пиот в 1с розница 2.3","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0048","CORV-G08-01","настройка тс пиот в 1с розница 2.3","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0049","CORV-G08-01","настройка тс пиот в 1с розница 2.3","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0050","CORV-G08-01","настройка тс пиот в 1с розница 2.3","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0051","CORV-G08-01","настройка тс пиот в 1с розница 3","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0052","CORV-G08-01","настройка тс пиот в 1с розница 3","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0053","CORV-G08-01","настройка тс пиот в 1с розница 3","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0054","CORV-G08-01","настройка тс пиот в 1с розница 3","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0055","CORV-G08-01","настройка тс пиот в 1с розница 3","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0056","CORV-G08-01","настройка тс пиот в 1с розница 3","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0057","CORV-G08-01","настройка тс пиот в 1с розница 3.0","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0058","CORV-G08-01","настройка тс пиот в 1с розница 3.0","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0059","CORV-G08-01","настройка тс пиот в 1с розница 3.0","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0060","CORV-G08-01","настройка тс пиот в 1с розница 3.0","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0061","CORV-G08-01","настройка тс пиот в 1с розница 3.0","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0062","CORV-G08-01","настройка тс пиот в 1с розница 3.0","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0063","CORV-G08-01","настройка тс пиот в 1с унф","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0064","CORV-G08-01","настройка тс пиот в 1с унф","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0065","CORV-G08-01","настройка тс пиот в 1с унф","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0066","CORV-G08-01","настройка тс пиот в 1с унф","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0067","CORV-G08-01","настройка тс пиот в 1с унф","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0068","CORV-G08-01","настройка тс пиот в 1с унф","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0069","CORV-G08-01","настройка тс пиот в 1с ут","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0070","CORV-G08-01","настройка тс пиот в 1с ут","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0071","CORV-G08-01","настройка тс пиот в 1с ут","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0072","CORV-G08-01","настройка тс пиот в 1с ут","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0073","CORV-G08-01","настройка тс пиот в 1с ут","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0074","CORV-G08-01","настройка тс пиот в 1с ут","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0075","CORV-G08-01","настройка тс пиот в 1с ут 11.5","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0076","CORV-G08-01","настройка тс пиот в 1с ут 11.5","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0077","CORV-G08-01","настройка тс пиот в 1с ут 11.5","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0078","CORV-G08-01","настройка тс пиот в 1с ут 11.5","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0079","CORV-G08-01","настройка тс пиот в 1с ут 11.5","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0080","CORV-G08-01","настройка тс пиот в 1с ут 11.5","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0081","CORV-G08-01","не удалось подключиться к тс пиоту 1с","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0082","CORV-G08-01","не удалось подключиться к тс пиоту 1с","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0083","CORV-G08-01","не удалось подключиться к тс пиоту 1с","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0084","CORV-G08-01","не удалось подключиться к тс пиоту 1с","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0085","CORV-G08-01","не удалось подключиться к тс пиоту 1с","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0086","CORV-G08-01","не удалось подключиться к тс пиоту 1с","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0087","CORV-G08-01","подключение тс пиот к 1с","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0088","CORV-G08-01","подключение тс пиот к 1с","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0089","CORV-G08-01","подключение тс пиот к 1с","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0090","CORV-G08-01","подключение тс пиот к 1с","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0091","CORV-G08-01","подключение тс пиот к 1с","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0092","CORV-G08-01","подключение тс пиот к 1с","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0093","CORV-G08-01","тс пиот 1с розница 2.3","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0094","CORV-G08-01","тс пиот 1с розница 2.3","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0095","CORV-G08-01","тс пиот 1с розница 2.3","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
"SF-0096","CORV-G08-01","тс пиот 1с розница 2.3","доработка","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates modification CORV-C02; representative checks pass for scope.","PASS","RESOLVED"
"SF-0097","CORV-G08-01","тс пиот 1с розница 2.3","интеграц","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates integration groups CORV-C05; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0098","CORV-G08-01","тс пиот 1с розница 2.3","маркировка","group_cross","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for 1с розница подключение тс пиот; настройка подключения к тс пиот 1с; настройка подключения к тс пиот 1с розница.","PASS","RESOLVED"
"SF-0099","CORV-G08-01","тс пиот 1с розница 3","маркировка пива","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0100","CORV-G08-01","тс пиот 1с розница 3","маркировка воды","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates marking groups CORV-C06; representative checks pass for scope.","PASS","RESOLVED"
"SF-0101","CORV-G08-01","тс пиот 1с розница 3","программист","direction","SEMANTIC_RISK","Stem token without literal collision; resolution: SAFE","STEM_RISK","SAFE: no literal collision in owner groups; separates general hire CORV-G01-01; representative checks pass for scope.","PASS","RESOLVED"
